ID	altID	Group	ClassUpper	ClassLower
R-RNO-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	Reactome	Organelle biogenesis and maintenance	Mitochondrial biogenesis
R-RNO-216083	Integrin cell surface interactions	Reactome	Extracellular matrix organization	Extracellular matrix organization
R-RNO-2160916	Hyaluronan uptake and degradation	Reactome	Metabolism	Metabolism of carbohydrates
R-RNO-2161517	Abacavir transmembrane transport	Reactome	Metabolism	Abacavir transport and metabolism
R-RNO-2161541	Abacavir metabolism	Reactome	Metabolism	Abacavir transport and metabolism
R-RNO-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-2168880	Scavenging of heme from plasma	Reactome	Vesicle-mediated transport	Binding and Uptake of Ligands by Scavenger Receptors
R-RNO-2172127	DAP12 interactions	Reactome	Immune System	Innate Immune System
R-RNO-217271	FMO oxidises nucleophiles	Reactome	Metabolism	Biological oxidations
R-RNO-2173788	Downregulation of TGF-beta receptor signaling	Reactome	Signal Transduction	Signaling by TGF-beta Receptor Complex
R-RNO-2173789	TGF-beta receptor signaling activates SMADs	Reactome	Signal Transduction	Signaling by TGF-beta Receptor Complex
R-RNO-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Reactome	Signal Transduction	Signaling by TGF-beta Receptor Complex
R-RNO-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	Reactome	Signal Transduction	Signaling by TGF-beta Receptor Complex
R-RNO-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Reactome	Signal Transduction	Signaling by TGF-beta Receptor Complex
R-RNO-2179392	EGFR Transactivation by Gastrin	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-2187335	The retinoid cycle in cones (daylight vision)	Reactome	Signal Transduction	Visual phototransduction
R-RNO-2197563	NOTCH2 intracellular domain regulates transcription	Reactome	Signal Transduction	Signaling by NOTCH
R-RNO-2214320	Anchoring fibril formation	Reactome	Extracellular matrix organization	Collagen formation
R-RNO-2243919	Crosslinking of collagen fibrils	Reactome	Extracellular matrix organization	Collagen formation
R-RNO-2299718	Condensation of Prophase Chromosomes	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2393930	Phosphate bond hydrolysis by NUDT proteins	Reactome	Metabolism	Metabolism of nucleotides
R-RNO-2395516	Electron transport from NADPH to Ferredoxin	Reactome	Metabolism	Mitochondrial iron-sulfur cluster biogenesis
R-RNO-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	Signal Transduction	Signal Transduction
R-RNO-2424491	DAP12 signaling	Reactome	Immune System	Innate Immune System
R-RNO-2426168	Activation of gene expression by SREBF (SREBP)	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-2428928	IRS-related events triggered by IGF1R	Reactome	Signal Transduction	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
R-RNO-2428933	SHC-related events triggered by IGF1R	Reactome	Signal Transduction	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
R-RNO-2453902	The canonical retinoid cycle in rods (twilight vision)	Reactome	Signal Transduction	Visual phototransduction
R-RNO-2454202	Fc epsilon receptor (FCERI) signaling	Reactome	Immune System	Innate Immune System
R-RNO-2465910	MASTL Facilitates Mitotic Progression	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2467813	Separation of Sister Chromatids	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2468052	Establishment of Sister Chromatid Cohesion	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2470946	Cohesin Loading onto Chromatin	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2473224	Antagonism of Activin by Follistatin	Reactome	Signal Transduction	Signaling by Activin
R-RNO-2485179	Activation of the phototransduction cascade	Reactome	Signal Transduction	Visual phototransduction
R-RNO-2500257	Resolution of Sister Chromatid Cohesion	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2514853	Condensation of Prometaphase Chromosomes	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2514859	Inactivation, recovery and regulation of the phototransduction cascade	Reactome	Signal Transduction	Visual phototransduction
R-RNO-2534343	Interaction With Cumulus Cells	Reactome	Reproduction	Fertilization
R-RNO-2559580	Oxidative Stress Induced Senescence	Reactome	Cellular responses to stress	Cellular Senescence
R-RNO-2559582	Senescence-Associated Secretory Phenotype (SASP)	Reactome	Cellular responses to stress	Cellular Senescence
R-RNO-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Reactome	Cellular responses to stress	Cellular Senescence
R-RNO-2559585	Oncogene Induced Senescence	Reactome	Cellular responses to stress	Cellular Senescence
R-RNO-2559586	DNA Damage/Telomere Stress Induced Senescence	Reactome	Cellular responses to stress	Cellular Senescence
R-RNO-2562578	TRIF-mediated programmed cell death	Reactome	Immune System	Innate Immune System
R-RNO-2564830	Cytosolic iron-sulfur cluster assembly	Reactome	Metabolism	Metabolism
R-RNO-2565942	Regulation of PLK1 Activity at G2/M Transition	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2586552	Signaling by Leptin	Reactome	Signal Transduction	Signal Transduction
R-RNO-264642	Acetylcholine Neurotransmitter Release Cycle	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-264870	Caspase-mediated cleavage of cytoskeletal proteins	Reactome	Programmed Cell Death	Apoptosis
R-RNO-264876	Insulin processing	Reactome	Metabolism of proteins	Peptide hormone metabolism
R-RNO-265473	Trafficking of dietary sterols	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-2672351	Stimuli-sensing channels	Reactome	Transmembrane transport of small molecules	Ion channel transport
R-RNO-2682334	EPH-Ephrin signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	Reactome	Immune System	Innate Immune System
R-RNO-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	Reactome	Immune System	Innate Immune System
R-RNO-2871796	FCERI mediated MAPK activation	Reactome	Immune System	Innate Immune System
R-RNO-2871809	FCERI mediated Ca+2 mobilization	Reactome	Immune System	Innate Immune System
R-RNO-2871837	FCERI mediated NF-kB activation	Reactome	Immune System	Innate Immune System
R-RNO-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	Reactome	Signal Transduction	Signaling by NOTCH
R-RNO-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2993913	Clearance of Nuclear Envelope Membranes from Chromatin	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-2995383	Initiation of Nuclear Envelope Reformation	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-3000157	Laminin interactions	Reactome	Extracellular matrix organization	Extracellular matrix organization
R-RNO-3000170	Syndecan interactions	Reactome	Extracellular matrix organization	Non-integrin membrane-ECM interactions
R-RNO-3000171	Non-integrin membrane-ECM interactions	Reactome	Extracellular matrix organization	Extracellular matrix organization
R-RNO-3000178	ECM proteoglycans	Reactome	Extracellular matrix organization	Extracellular matrix organization
R-RNO-3000471	Scavenging by Class B Receptors	Reactome	Vesicle-mediated transport	Binding and Uptake of Ligands by Scavenger Receptors
R-RNO-3000480	Scavenging by Class A Receptors	Reactome	Vesicle-mediated transport	Binding and Uptake of Ligands by Scavenger Receptors
R-RNO-3000484	Scavenging by Class F Receptors	Reactome	Vesicle-mediated transport	Binding and Uptake of Ligands by Scavenger Receptors
R-RNO-3000497	Scavenging by Class H Receptors	Reactome	Vesicle-mediated transport	Binding and Uptake of Ligands by Scavenger Receptors
R-RNO-3065676	SUMO is conjugated to E1 (UBA2:SAE1)	Reactome	Metabolism of proteins	Post-translational protein modification
R-RNO-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	Reactome	Metabolism of proteins	Post-translational protein modification
R-RNO-3065679	SUMO is proteolytically processed	Reactome	Metabolism of proteins	Post-translational protein modification
R-RNO-3108214	SUMOylation of DNA damage response and repair proteins	Reactome	Metabolism of proteins	Post-translational protein modification
R-RNO-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	Reactome	Immune System	Innate Immune System
R-RNO-3134973	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	Reactome	Immune System	Innate Immune System
R-RNO-3134975	Regulation of innate immune responses to cytosolic DNA	Reactome	Immune System	Innate Immune System
R-RNO-3214815	HDACs deacetylate histones	Reactome	Chromatin organization	Chromatin modifying enzymes
R-RNO-3214841	PKMTs methylate histone lysines	Reactome	Chromatin organization	Chromatin modifying enzymes
R-RNO-3214842	HDMs demethylate histones	Reactome	Chromatin organization	Chromatin modifying enzymes
R-RNO-3214847	HATs acetylate histones	Reactome	Chromatin organization	Chromatin modifying enzymes
R-RNO-3214858	RMTs methylate histone arginines	Reactome	Chromatin organization	Chromatin modifying enzymes
R-RNO-3238698	WNT ligand biogenesis and trafficking	Reactome	Signal Transduction	Signaling by Wnt
R-RNO-3248023	Regulation by TREX1	Reactome	Immune System	Innate Immune System
R-RNO-3249367	STAT6-mediated induction of chemokines	Reactome	Immune System	Innate Immune System
R-RNO-3270619	IRF3-mediated induction of type I IFN	Reactome	Immune System	Innate Immune System
R-RNO-3295583	TRP channels	Reactome	Transmembrane transport of small molecules	Ion channel transport
R-RNO-3296197	Hydroxycarboxylic acid-binding receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-3299685	Detoxification of Reactive Oxygen Species	Reactome	Cellular responses to stress	Cellular responses to stress
R-RNO-3301854	Nuclear Pore Complex (NPC) Disassembly	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-3322077	Glycogen synthesis	Reactome	Metabolism	Metabolism of carbohydrates
R-RNO-3371378	Regulation by c-FLIP	Reactome	Programmed Cell Death	Apoptosis
R-RNO-3371453	Regulation of HSF1-mediated heat shock response	Reactome	Cellular responses to stress	Cellular response to heat stress
R-RNO-3371511	HSF1 activation	Reactome	Cellular responses to stress	Cellular response to heat stress
R-RNO-3371568	Attenuation phase	Reactome	Cellular responses to stress	Cellular response to heat stress
R-RNO-3371571	HSF1-dependent transactivation	Reactome	Cellular responses to stress	Cellular response to heat stress
R-RNO-349425	Autodegradation of the E3 ubiquitin ligase COP1	Reactome	Cell Cycle	Cell Cycle Checkpoints
R-RNO-350054	Notch-HLH transcription pathway	Reactome	Gene Expression	Generic Transcription Pathway
R-RNO-350562	Regulation of ornithine decarboxylase (ODC)	Reactome	Metabolism	Metabolism of amino acids and derivatives
R-RNO-351143	Agmatine biosynthesis	Reactome	Metabolism	Metabolism of amino acids and derivatives
R-RNO-351200	Interconversion of polyamines	Reactome	Metabolism	Metabolism of amino acids and derivatives
R-RNO-351202	Metabolism of polyamines	Reactome	Metabolism	Metabolism of amino acids and derivatives
R-RNO-351906	Apoptotic cleavage of cell adhesion  proteins	Reactome	Programmed Cell Death	Apoptosis
R-RNO-352230	Amino acid transport across the plasma membrane	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-352238	Breakdown of the nuclear lamina	Reactome	Programmed Cell Death	Apoptosis
R-RNO-354192	Integrin alphaIIb beta3 signaling	Reactome	Signal Transduction	Signal Transduction
R-RNO-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	Reactome	Signal Transduction	Integrin alphaIIb beta3 signaling
R-RNO-372708	p130Cas linkage to MAPK signaling for integrins	Reactome	Signal Transduction	Integrin alphaIIb beta3 signaling
R-RNO-373076	Class A/1 (Rhodopsin-like receptors)	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-373080	Class B/2 (Secretin family receptors)	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-373752	Netrin-1 signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-373753	Nephrin interactions	Reactome	Cell-Cell communication	Cell-Cell communication
R-RNO-373760	L1CAM interactions	Reactome	Developmental Biology	Axon guidance
R-RNO-375165	NCAM signaling for neurite out-growth	Reactome	Developmental Biology	Axon guidance
R-RNO-375170	CDO in myogenesis	Reactome	Developmental Biology	Myogenesis
R-RNO-375276	Peptide ligand-binding receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-375280	Amine ligand-binding receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-375281	Hormone ligand-binding receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-376172	DSCAM interactions	Reactome	Cell-Cell communication	Cell-Cell communication
R-RNO-376176	Signaling by Robo receptor	Reactome	Developmental Biology	Axon guidance
R-RNO-3769402	deactivation of the beta-catenin transactivating complex	Reactome	Signal Transduction	Signaling by Wnt
R-RNO-3772470	negative regulation of TCF-dependent signaling by WNT ligand antagonists	Reactome	Signal Transduction	Signaling by Wnt
R-RNO-379397	Enzymatic degradation of dopamine by COMT	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-379398	Enzymatic degradation of Dopamine by monoamine oxidase	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-379401	Dopamine clearance from the synaptic cleft	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-379716	Cytosolic tRNA aminoacylation	Reactome	Gene Expression	tRNA Aminoacylation
R-RNO-379726	Mitochondrial tRNA aminoacylation	Reactome	Gene Expression	tRNA Aminoacylation
R-RNO-380095	Tachykinin receptors bind tachykinins	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-380108	Chemokine receptors bind chemokines	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-380259	Loss of Nlp from mitotic centrosomes	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-380270	Recruitment of mitotic centrosome proteins and complexes	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-380284	Loss of proteins required for interphase microtubule organization from the centrosome	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-380320	Recruitment of NuMA to mitotic centrosomes	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-380612	Metabolism of serotonin	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-380972	Energy dependent regulation of mTOR by LKB1-AMPK	Reactome	Signal Transduction	Signaling by Insulin receptor
R-RNO-381033	ATF6-alpha activates chaperones	Reactome	Metabolism of proteins	Unfolded Protein Response (UPR)
R-RNO-381038	XBP1(S) activates chaperone genes	Reactome	Metabolism of proteins	Unfolded Protein Response (UPR)
R-RNO-381042	PERK regulates gene expression	Reactome	Metabolism of proteins	Unfolded Protein Response (UPR)
R-RNO-381070	IRE1alpha activates chaperones	Reactome	Metabolism of proteins	Unfolded Protein Response (UPR)
R-RNO-381340	Transcriptional regulation of white adipocyte differentiation	Reactome	Developmental Biology	Developmental Biology
R-RNO-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Reactome	Metabolism of proteins	Metabolism of proteins
R-RNO-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	Reactome	Metabolism	Integration of energy metabolism
R-RNO-381753	Olfactory Signaling Pathway	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-381771	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	Reactome	Metabolism of proteins	Peptide hormone metabolism
R-RNO-382556	ABC-family proteins mediated transport	Reactome	Transmembrane transport of small molecules	Transmembrane transport of small molecules
R-RNO-383280	Nuclear Receptor transcription pathway	Reactome	Gene Expression	Generic Transcription Pathway
R-RNO-388479	Vasopressin-like receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-388841	Costimulation by the CD28 family	Reactome	Immune System	Adaptive Immune System
R-RNO-389356	CD28 co-stimulation	Reactome	Immune System	Adaptive Immune System
R-RNO-389357	CD28 dependent PI3K/Akt signaling	Reactome	Immune System	Adaptive Immune System
R-RNO-389359	CD28 dependent Vav1 pathway	Reactome	Immune System	Adaptive Immune System
R-RNO-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-389513	CTLA4 inhibitory signaling	Reactome	Immune System	Adaptive Immune System
R-RNO-389542	NADPH regeneration	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-389599	Alpha-oxidation of phytanate	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-389661	Glyoxylate metabolism	Reactome	Metabolism	Metabolism of amino acids and derivatives
R-RNO-389887	Beta-oxidation of pristanoyl-CoA	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-389948	PD-1 signaling	Reactome	Immune System	Adaptive Immune System
R-RNO-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	Reactome	Metabolism of proteins	Protein folding
R-RNO-389960	Formation of tubulin folding intermediates by CCT/TriC	Reactome	Metabolism of proteins	Protein folding
R-RNO-389977	Post-chaperonin tubulin folding pathway	Reactome	Metabolism of proteins	Protein folding
R-RNO-390247	Beta-oxidation of very long chain fatty acids	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-390450	Folding of actin by CCT/TriC	Reactome	Metabolism of proteins	Protein folding
R-RNO-390471	Association of TriC/CCT with target proteins during biosynthesis	Reactome	Metabolism of proteins	Protein folding
R-RNO-390522	Striated Muscle Contraction	Reactome	Muscle contraction	Muscle contraction
R-RNO-390648	Muscarinic acetylcholine receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-390650	Histamine receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-390651	Dopamine receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-390666	Serotonin receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-390696	Adrenoceptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-390918	Peroxisomal lipid metabolism	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-391160	Signal regulatory protein (SIRP) family interactions	Reactome	Cell-Cell communication	Cell-Cell communication
R-RNO-391906	Leukotriene receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-391908	Prostanoid ligand receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-392023	Adrenaline signalling through Alpha-2 adrenergic receptor	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-392154	Nitric oxide stimulates guanylate cyclase	Reactome	Hemostasis	Platelet homeostasis
R-RNO-392170	ADP signalling through P2Y purinoceptor 12	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-392451	G beta:gamma signalling through PI3Kgamma	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-392517	Rap1 signalling	Reactome	Immune System	Adaptive Immune System
R-RNO-392851	Prostacyclin signalling through prostacyclin receptor	Reactome	Hemostasis	Platelet homeostasis
R-RNO-3928662	EPHB-mediated forward signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-3928663	EPHA-mediated growth cone collapse	Reactome	Developmental Biology	Axon guidance
R-RNO-3928664	Ephrin signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-3928665	EPH-ephrin mediated repulsion of cells	Reactome	Developmental Biology	Axon guidance
R-RNO-397014	Muscle contraction	Reactome	Muscle contraction	Muscle contraction
R-RNO-399710	Activation of AMPA receptors	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-399719	Trafficking of AMPA receptors	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-399954	Sema3A PAK dependent Axon repulsion	Reactome	Developmental Biology	Axon guidance
R-RNO-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Reactome	Developmental Biology	Axon guidance
R-RNO-399956	CRMPs in Sema3A signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-399997	Acetylcholine regulates insulin secretion	Reactome	Metabolism	Integration of energy metabolism
R-RNO-400042	Adrenaline,noradrenaline inhibits insulin secretion	Reactome	Metabolism	Integration of energy metabolism
R-RNO-400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Reactome	Metabolism	Metabolism of lipids and lipoproteins
R-RNO-400253	Circadian Clock	Reactome	Circadian Clock	Circadian Clock
R-RNO-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	Reactome	Metabolism of proteins	Peptide hormone metabolism
R-RNO-4085001	Sialic acid metabolism	Reactome	Metabolism of proteins	Post-translational protein modification
R-RNO-4086398	Ca2+ pathway	Reactome	Signal Transduction	Signaling by Wnt
R-RNO-4086400	PCP/CE pathway	Reactome	Signal Transduction	Signaling by Wnt
R-RNO-416476	G alpha (q) signalling events	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-416482	G alpha (12/13) signalling events	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-416550	Sema4D mediated inhibition of cell attachment and migration	Reactome	Developmental Biology	Axon guidance
R-RNO-416572	Sema4D induced cell migration and growth-cone collapse	Reactome	Developmental Biology	Axon guidance
R-RNO-416700	Other semaphorin interactions	Reactome	Developmental Biology	Axon guidance
R-RNO-416993	Trafficking of GluR2-containing AMPA receptors	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-417957	P2Y receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-417973	Adenosine P1 receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-418217	G beta:gamma signalling through PLC beta	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-418346	Platelet homeostasis	Reactome	Hemostasis	Hemostasis
R-RNO-418359	Reduction of cytosolic Ca++ levels	Reactome	Hemostasis	Platelet homeostasis
R-RNO-418457	cGMP effects	Reactome	Hemostasis	Platelet homeostasis
R-RNO-418555	G alpha (s) signalling events	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-418592	ADP signalling through P2Y purinoceptor 1	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-418594	G alpha (i) signalling events	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-418597	G alpha (z) signalling events	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-418885	DCC mediated attractive signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-418886	Netrin mediated repulsion signals	Reactome	Developmental Biology	Axon guidance
R-RNO-418889	Ligand-independent caspase activation via DCC	Reactome	Programmed Cell Death	Apoptosis
R-RNO-418890	Role of second messengers in netrin-1 signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-418990	Adherens junctions interactions	Reactome	Cell-Cell communication	Cell junction organization
R-RNO-419037	NCAM1 interactions	Reactome	Developmental Biology	Axon guidance
R-RNO-419408	Lysosphingolipid and LPA receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-419524	Fanconi Anemia pathway	Reactome	DNA Repair	DNA Repair
R-RNO-419552	Regulation of the Fanconi anemia pathway	Reactome	DNA Repair	Fanconi Anemia pathway
R-RNO-419771	Opsins	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-419812	Calcitonin-like ligand receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-420029	Tight junction interactions	Reactome	Cell-Cell communication	Cell junction organization
R-RNO-420092	Glucagon-type ligand receptors	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-420597	Nectin/Necl  trans heterodimerization	Reactome	Cell-Cell communication	Cell junction organization
R-RNO-421837	Clathrin derived vesicle budding	Reactome	Vesicle-mediated transport	Membrane Trafficking
R-RNO-422085	Synthesis, secretion, and deacylation of Ghrelin	Reactome	Metabolism of proteins	Peptide hormone metabolism
R-RNO-422356	Regulation of insulin secretion	Reactome	Metabolism	Integration of energy metabolism
R-RNO-425366	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-425381	Bicarbonate transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-425397	Transport of vitamins, nucleosides, and related molecules	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-425410	Metal ion SLC transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-425561	Sodium/Calcium exchangers	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-425986	Sodium/Proton exchangers	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-426048	Arachidonate production from DAG	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-426117	Cation-coupled Chloride cotransporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-426486	Small interfering RNA (siRNA) biogenesis	Reactome	Gene Expression	Regulatory RNA pathways
R-RNO-426496	Post-transcriptional silencing by small RNAs	Reactome	Gene Expression	Regulatory RNA pathways
R-RNO-427359	SIRT1 negatively regulates rRNA Expression	Reactome	Gene Expression	Epigenetic regulation of gene expression
R-RNO-427413	NoRC negatively regulates rRNA expression	Reactome	Gene Expression	Epigenetic regulation of gene expression
R-RNO-427589	Type II Na+/Pi cotransporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-427601	Multifunctional anion exchangers	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-427652	Sodium-coupled phosphate cotransporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-427975	Proton/oligonucleotide cotransporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-428540	Activation of Rac	Reactome	Developmental Biology	Axon guidance
R-RNO-428542	Regulation of Commissural axon pathfinding by Slit and Robo	Reactome	Developmental Biology	Axon guidance
R-RNO-428543	Inactivation of Cdc42 and Rac	Reactome	Developmental Biology	Axon guidance
R-RNO-428559	Proton-coupled neutral amino acid transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-428643	Organic anion transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-428776	Class II GLUTs	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-428790	Facilitative Na+-independent glucose transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-428808	Na+-dependent glucose transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-428890	Role of Abl in Robo-Slit signaling	Reactome	Developmental Biology	Axon guidance
R-RNO-428930	Thromboxane signalling through TP receptor	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-429593	Inositol transporters	Reactome	Transmembrane transport of small molecules	SLC-mediated transmembrane transport
R-RNO-429947	Deadenylation of mRNA	Reactome	Gene Expression	Deadenylation-dependent mRNA decay
R-RNO-429958	mRNA decay by 3' to 5' exoribonuclease	Reactome	Gene Expression	Deadenylation-dependent mRNA decay
R-RNO-430039	mRNA decay by 5' to 3' exoribonuclease	Reactome	Gene Expression	Deadenylation-dependent mRNA decay
R-RNO-430116	GP1b-IX-V activation signalling	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-432030	Transport of glycerol from adipocytes to the liver by Aquaporins	Reactome	Transmembrane transport of small molecules	Aquaporin-mediated transport
R-RNO-432040	Vasopressin regulates renal water homeostasis via Aquaporins	Reactome	Transmembrane transport of small molecules	Aquaporin-mediated transport
R-RNO-432047	Passive transport by Aquaporins	Reactome	Transmembrane transport of small molecules	Aquaporin-mediated transport
R-RNO-432142	Platelet sensitization by LDL	Reactome	Hemostasis	Platelet homeostasis
R-RNO-432720	Lysosome Vesicle Biogenesis	Reactome	Vesicle-mediated transport	Membrane Trafficking
