V1	V1.name	V2	V2.name	SINGLE_REPEAT_TYPE	TYPE	support	interest	Padj	UniProtID	treatment	DOSE_LEVEL	SACRIFICE_PERIOD	Change	ID
Alteration..cytoplasmic	Alteration, cytoplasmic	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00355871886120996	NA	NA	NA	NA	NA	NA	NA	A16451
R-RNO-68949	Orc1 removal from chromatin	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A19
Alteration..nuclear	Alteration, nuclear	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00711743772241993	NA	NA	NA	NA	NA	NA	NA	A16697
R-RNO-1250347	SHC1 events in ERBB4 signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00622775800711744	0.0248346604141127	NA	NA	NA	NA	NA	NA	A1036
R-RNO-3214842	HDMs demethylate histones	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00266903914590747	0.0382074781845659	NA	NA	NA	NA	NA	NA	A1467
cycloheximide	cycloheximide	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_cycloheximide_High_9hr_Single	High	9 hr	NA	A2575
ALP.IU.L.	alkaline phosphatase	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00800711743772242	NA	NA	NA	NA	NA	NA	NA	A16031
R-RNO-71032	Propionyl-CoA catabolism	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00800711743772242	0.124170074892442	NA	NA	NA	NA	NA	NA	A1793
methylene_dianiline	methylene_dianiline	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_Middle_4day_Repeat	Middle	4 day	NA	A3032
TBIL.mg.dL.	total bilirubin	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00711743772241993	NA	NA	NA	NA	NA	NA	NA	A16333
bucetin	bucetin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_bucetin_High_8day_Repeat	High	8 day	NA	A2452
ethambutol	ethambutol	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethambutol_High_8day_Repeat	High	8 day	NA	A2662
Proliferation..bile.duct	Proliferation, bile duct	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16850
R-RNO-77288	mitochondrial fatty acid beta-oxidation of unsaturated fatty acids	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0125516976050784	NA	NA	NA	NA	NA	NA	A451
LDH.IU.L.	lactate dehydrogenase	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.0115658362989324	NA	NA	NA	NA	NA	NA	NA	A16367
R-RNO-3214842	HDMs demethylate histones	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.0382074781845659	NA	NA	NA	NA	NA	NA	A516
R-RNO-1474244	Extracellular matrix organization	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00177935943060498	0.0167516270719118	NA	NA	NA	NA	NA	NA	A1434
R-RNO-912694	Regulation of IFNA signaling	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00177935943060498	0.008351768138245	NA	NA	NA	NA	NA	NA	A1534
ethinylestradiol	ethinylestradiol	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethinylestradiol_Middle_29day_Repeat	Middle	29 day	NA	A2694
GTP.IU.L.	g-glutamyltranspeptidase	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.0106761565836299	NA	NA	NA	NA	NA	NA	NA	A17236
PL.mg.dL.	phospholipid	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00533807829181495	NA	NA	NA	NA	NA	NA	NA	A16091
R-RNO-5610785	GLI3 is processed to GLI3R by the proteasome	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A205
R-RNO-3065679	SUMO is proteolytically processed	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00444839857651246	0.163838905318029	NA	NA	NA	NA	NA	NA	A576
R-RNO-3000471	Scavenging by Class B Receptors	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.00291656529881357	NA	NA	NA	NA	NA	NA	A919
R-RNO-5607761	Dectin-1 mediated noncanonical NF-kB signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A145
bucetin	bucetin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_bucetin_High_29day_Repeat	High	29 day	NA	A2451
aflatoxin_B1	aflatoxin_B1	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_aflatoxin_B1_Middle_24hr_Single	Middle	24 hr	NA	A2338
omeprazole	omeprazole	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_omeprazole_Middle_6hr_Single	Middle	6 hr	NA	A3166
R-RNO-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00889679715302491	0.139922355224846	NA	NA	NA	NA	NA	NA	A1818
cycloheximide	cycloheximide	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_cycloheximide_Low_9hr_Single	Low	9 hr	NA	A2577
R-RNO-5668541	TNFR2 non-canonical NF-kB pathway	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A24
acetaminophen	acetaminophen	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_acetaminophen_High_9hr_Single	High	9 hr	NA	A2325
nicotinic_acid	nicotinic_acid	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_nicotinic_acid_Middle_6hr_Single	Middle	6 hr	NA	A3101
R-RNO-174113	SCF-beta-TrCP mediated degradation of Emi1	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A195
Plat.x10_4.uL.	platelet count	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16984
R-RNO-3000471	Scavenging by Class B Receptors	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00177935943060498	0.00291656529881357	NA	NA	NA	NA	NA	NA	A1799
R-RNO-77288	mitochondrial fatty acid beta-oxidation of unsaturated fatty acids	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00177935943060498	0.0125516976050784	NA	NA	NA	NA	NA	NA	A1439
R-RNO-1566977	Fibronectin matrix formation	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00622775800711744	0.0729379774327941	NA	NA	NA	NA	NA	NA	A876
aspirin	aspirin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_aspirin_High_15day_Repeat	High	15 day	NA	A2367
R-RNO-3371568	Attenuation phase	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00622775800711744	0.131793800608593	NA	NA	NA	NA	NA	NA	A748
DBIL.mg.dL.	direct bilirubin	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00889679715302491	NA	NA	NA	NA	NA	NA	NA	A16374
phenylanthranilic_acid	phenylanthranilic_acid	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_phenylanthranilic_acid_High_6hr_Single	High	6 hr	NA	A3215
R-RNO-912694	Regulation of IFNA signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.008351768138245	NA	NA	NA	NA	NA	NA	A619
aflatoxin_B1	aflatoxin_B1	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_aflatoxin_B1_High_24hr_Single	High	24 hr	NA	A2332
altered metabolic activity	altered metabolic activity	Change..eosinophilic	Change, eosinophilic	NA	ao2pheno	NA	NA	NA	NA	NA	NA	NA	NA	A17331
R-RNO-5676590	NIK-->noncanonical NF-kB signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A155
R-RNO-1236394	Signaling by ERBB4	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0124555160142349	0.0747542429716813	NA	NA	NA	NA	NA	NA	A1278
thioacetamide	thioacetamide	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_thioacetamide_Middle_24hr_Single	Middle	24 hr	NA	A3336
thioacetamide	thioacetamide	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_thioacetamide_Middle_4day_Repeat	Middle	4 day	NA	A3341
R-RNO-1306955	GRB7 events in ERBB2 signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0133451957295374	0.0872216200614716	NA	NA	NA	NA	NA	NA	A1288
Plat.x10_4.uL.	platelet count	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16069
R-RNO-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A275
thioacetamide	thioacetamide	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_thioacetamide_High_9hr_Single	High	9 hr	NA	A3332
ethambutol	ethambutol	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethambutol_High_29day_Repeat	High	29 day	NA	A2656
Cellular.infiltration	Cellular infiltration	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.0124555160142349	NA	NA	NA	NA	NA	NA	NA	A16309
Single.cell.necrosis	Single cell necrosis	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.0169039145907473	NA	NA	NA	NA	NA	NA	NA	A16387
R-RNO-174084	Autodegradation of Cdh1 by Cdh1:APC/C	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A245
bucetin	bucetin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_bucetin_High_15day_Repeat	High	15 day	NA	A2450
R-RNO-5334118	DNA methylation	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00622775800711744	0.0821341998040126	NA	NA	NA	NA	NA	NA	A1678
R-RNO-1963640	GRB2 events in ERBB2 signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0115658362989324	0.0690750558823767	NA	NA	NA	NA	NA	NA	A1210
R-RNO-844456	The NLRP3 inflammasome	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00355871886120996	0.0170686700935811	NA	NA	NA	NA	NA	NA	A1697
R-RNO-1963642	PI3K events in ERBB2 signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0115658362989324	0.0634333461173693	NA	NA	NA	NA	NA	NA	A1263
methylene_dianiline	methylene_dianiline	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_High_8day_Repeat	High	8 day	NA	A3006
ethionamide	ethionamide	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_ethionamide_Low_9hr_Single	Low	9 hr	NA	A2721
R-RNO-1482883	Acyl chain remodeling of DAG and TAG	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00622775800711744	0.0238914581196287	NA	NA	NA	NA	NA	NA	A1984
R-RNO-77111	Synthesis of Ketone Bodies	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0167516270719118	NA	NA	NA	NA	NA	NA	A396
R-RNO-450408	AUF1 (hnRNP D0) destabilizes mRNA	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A285
Microgranuloma	Microgranuloma	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00355871886120996	NA	NA	NA	NA	NA	NA	NA	A16593
disopyramide	disopyramide	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_disopyramide_High_15day_Repeat	High	15 day	NA	A2633
R-RNO-70370	Galactose catabolism	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0167516270719118	NA	NA	NA	NA	NA	NA	A444
R-RNO-71240	Tryptophan catabolism	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.0573660605469702	NA	NA	NA	NA	NA	NA	A419
Necrosis	Necrosis	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00800711743772242	NA	NA	NA	NA	NA	NA	NA	A16159
R-RNO-427359	SIRT1 negatively regulates rRNA Expression	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00444839857651246	0.0407247757004661	NA	NA	NA	NA	NA	NA	A773
R-RNO-166663	Initial triggering of complement	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A53
R-RNO-442660	Na+/Cl- dependent neurotransmitter transporters	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.0228806122946424	NA	NA	NA	NA	NA	NA	A610
R-RNO-69017	CDK-mediated phosphorylation and removal of Cdc6	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A115
nicotinic_acid	nicotinic_acid	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_nicotinic_acid_Middle_9hr_Single	Middle	9 hr	NA	A3102
nicotinic_acid	nicotinic_acid	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_nicotinic_acid_Low_9hr_Single	Low	9 hr	NA	A3100
R-RNO-1250342	PI3K events in ERBB4 signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0115658362989324	0.0634333461173693	NA	NA	NA	NA	NA	NA	A1252
Cellular.infiltration..mononuclear.cell	Cellular infiltration, mononuclear cell	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00266903914590747	NA	NA	NA	NA	NA	NA	NA	A16717
amiodarone	amiodarone	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amiodarone_High_15day_Repeat	High	15 day	NA	A2351
R-RNO-3371568	Attenuation phase	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00622775800711744	0.131793800608593	NA	NA	NA	NA	NA	NA	A1619
Alteration..nuclear	Alteration, nuclear	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00711743772241993	NA	NA	NA	NA	NA	NA	NA	A15812
R-RNO-1250196	SHC1 events in ERBB2 signaling	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00622775800711744	0.0248346604141127	NA	NA	NA	NA	NA	NA	A1950
R-RNO-561048	Organic anion transport	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00889679715302491	0.0258193763531842	NA	NA	NA	NA	NA	NA	A2201
aspirin	aspirin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_aspirin_High_4day_Repeat	High	4 day	NA	A2371
phenylanthranilic_acid	phenylanthranilic_acid	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_phenylanthranilic_acid_Low_9hr_Single	Low	9 hr	NA	A3218
R-RNO-1963642	PI3K events in ERBB2 signaling	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.0115658362989324	0.0634333461173693	NA	NA	NA	NA	NA	NA	A2160
R-RNO-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00355871886120996	0.0412415974693555	NA	NA	NA	NA	NA	NA	A658
R-RNO-5632684	Hedgehog 'on' state	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A135
R-RNO-1306955	GRB7 events in ERBB2 signaling	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.0133451957295374	0.0872216200614716	NA	NA	NA	NA	NA	NA	A2185
ethionine	ethionine	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethionine_Middle_4day_Repeat	Middle	4 day	NA	A2748
IP.mg.dL.	inorganic phosphorus	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00533807829181495	NA	NA	NA	NA	NA	NA	NA	A15904
R-RNO-163685	Integration of energy metabolism	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A104
R-RNO-2024096	HS-GAG degradation	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A43
ethinylestradiol	ethinylestradiol	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethinylestradiol_High_15day_Repeat	High	15 day	NA	A2685
R-RNO-917937	Iron uptake and transport	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0251514860055785	NA	NA	NA	NA	NA	NA	A99
ethinylestradiol	ethinylestradiol	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethinylestradiol_High_29day_Repeat	High	29 day	NA	A2688
adapin	adapin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_adapin_High_29day_Repeat	High	29 day	NA	A2329
R-RNO-1482883	Acyl chain remodeling of DAG and TAG	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00622775800711744	0.0238914581196287	NA	NA	NA	NA	NA	NA	A1088
ethionine	ethionine	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethionine_High_4day_Repeat	High	4 day	NA	A2739
ALT.IU.L.	alanine aminotransferase	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.0160142348754448	NA	NA	NA	NA	NA	NA	NA	A16386
R-RNO-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00355871886120996	0.20699881376038	NA	NA	NA	NA	NA	NA	A385
Anisonucleosis	Anisonucleosis	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00266903914590747	NA	NA	NA	NA	NA	NA	NA	A15765
Inclusion.body..intracytoplasmic	Inclusion body, intracytoplasmic	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16476
MCH.pg.	mean corpuscular hemoglobin	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00533807829181495	NA	NA	NA	NA	NA	NA	NA	A15845
Inclusion.body..intracytoplasmic	Inclusion body, intracytoplasmic	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A15664
IP.mg.dL.	inorganic phosphorus	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00533807829181495	NA	NA	NA	NA	NA	NA	NA	A16791
disopyramide	disopyramide	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_disopyramide_High_8day_Repeat	High	8 day	NA	A2635
R-RNO-5610780	Degradation of GLI1 by the proteasome	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A225
R-RNO-561048	Organic anion transport	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00889679715302491	0.0258193763531842	NA	NA	NA	NA	NA	NA	A1303
R-RNO-4608870	Asymmetric localization of PCP proteins	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A175
clomipramine	clomipramine	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_clomipramine_High_15day_Repeat	High	15 day	NA	A2538
clomipramine	clomipramine	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_clomipramine_High_29day_Repeat	High	29 day	NA	A2539
ALT.IU.L.	alanine aminotransferase	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.0160142348754448	NA	NA	NA	NA	NA	NA	NA	A17301
R-RNO-191273	Cholesterol biosynthesis	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00533807829181495	0.0118376285636072	NA	NA	NA	NA	NA	NA	A1155
DBIL.mg.dL.	direct bilirubin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00889679715302491	NA	NA	NA	NA	NA	NA	NA	A17289
amiodarone	amiodarone	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amiodarone_High_29day_Repeat	High	29 day	NA	A2353
WBC.x10_2.uL.	white blood cell count	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00889679715302491	NA	NA	NA	NA	NA	NA	NA	A17049
R-RNO-1251985	Nuclear signaling by ERBB4	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.0124555160142349	0.0814028240156124	NA	NA	NA	NA	NA	NA	A2127
R-RNO-399719	Trafficking of AMPA receptors	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0115658362989324	0.0366939925436367	NA	NA	NA	NA	NA	NA	A1312
R-RNO-916853	Degradation of GABA	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.0573660605469702	NA	NA	NA	NA	NA	NA	A408
R-RNO-5334118	DNA methylation	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00622775800711744	0.0821341998040126	NA	NA	NA	NA	NA	NA	A799
R-RNO-1358803	Downregulation of ERBB2:ERBB3 signaling	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0115658362989324	0.0690750558823767	NA	NA	NA	NA	NA	NA	A1198
R-RNO-199418	Negative regulation of the PI3K/AKT network	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.0124555160142349	0.0463130907281981	NA	NA	NA	NA	NA	NA	A2209
R-RNO-174154	APC/C:Cdc20 mediated degradation of Securin	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A265
R-RNO-191273	Cholesterol biosynthesis	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2reactome	0.00533807829181495	0.0118376285636072	NA	NA	NA	NA	NA	NA	A2051
RBC.x10_4.ul.	red blood cell count	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00711743772241993	NA	NA	NA	NA	NA	NA	NA	A17182
omeprazole	omeprazole	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_omeprazole_Middle_9hr_Single	Middle	9 hr	NA	A3167
GTP.IU.L.	g-glutamyltranspeptidase	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.0106761565836299	NA	NA	NA	NA	NA	NA	NA	A16321
R-RNO-2029485	Role of phospholipids in phagocytosis	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0125516976050784	NA	NA	NA	NA	NA	NA	A468
R-RNO-112409	RAF-independent MAPK1/3 activation	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00355871886120996	0.00881083776024206	NA	NA	NA	NA	NA	NA	A991
thioacetamide	thioacetamide	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_thioacetamide_High_24hr_Single	High	24 hr	NA	A3310
AST.IU.L.	aspartate aminotransferase	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.0160142348754448	NA	NA	NA	NA	NA	NA	NA	A16388
phorone	phorone	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_phorone_High_9hr_Single	High	9 hr	NA	A3241
R-RNO-1251985	Nuclear signaling by ERBB4	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.0124555160142349	0.0814028240156124	NA	NA	NA	NA	NA	NA	A1230
TBIL.mg.dL.	total bilirubin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00711743772241993	NA	NA	NA	NA	NA	NA	NA	A17248
R-RNO-187577	SCF(Skp2)-mediated degradation of p27/p21	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A21
coumarin	coumarin	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_coumarin_High_24hr_Single	High	24 hr	NA	A2564
PL.mg.dL.	phospholipid	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2pheno	0.00533807829181495	NA	NA	NA	NA	NA	NA	NA	A17006
MCV.fL.	mean corpuscular volume	Change..eosinophilic	Change, eosinophilic	Single	pheno2pheno	0.00355871886120996	NA	NA	NA	NA	NA	NA	NA	A15938
R-RNO-844456	The NLRP3 inflammasome	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00355871886120996	0.0170686700935811	NA	NA	NA	NA	NA	NA	A818
R-RNO-77108	Utilization of Ketone Bodies	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00533807829181495	0.239298423995933	NA	NA	NA	NA	NA	NA	A599
aspirin	aspirin	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_aspirin_High_29day_Repeat	High	29 day	NA	A2369
R-RNO-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00889679715302491	0.139922355224846	NA	NA	NA	NA	NA	NA	A938
nifedipine	nifedipine	Change..eosinophilic	Change, eosinophilic	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nifedipine_High_29day_Repeat	High	29 day	NA	A3103
bortezomib	bortezomib	Change..eosinophilic	Change, eosinophilic	Single	pheno2chem	NA	NA	NA	NA	Liver_bortezomib_High_9hr_Single	High	9 hr	NA	A2426
R-RNO-983168	Antigen processing: Ubiquitination & Proteasome degradation	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A345
R-RNO-349425	Autodegradation of the E3 ubiquitin ligase COP1	Change..eosinophilic	Change, eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A355
