treatment	chems	SACRIFICE_PERIOD	DOSE_LEVEL	SIN_REP_TYPE	Out
Liver_carbon_tetrachloride_Middle_29day_Repeat	carbon_tetrachloride	29 day	Middle	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_Middle_29day_Repeat	carbon_tetrachloride	29 day	Middle	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_Middle_4day_Repeat	carbon_tetrachloride	4 day	Middle	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Middle_4day_Repeat	carbon_tetrachloride	4 day	Middle	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_Middle_4day_Repeat	carbon_tetrachloride	4 day	Middle	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_Middle_8day_Repeat	carbon_tetrachloride	8 day	Middle	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Middle_8day_Repeat	carbon_tetrachloride	8 day	Middle	Repeat	Cellular.infiltration
Liver_chloramphenicol_High_15day_Repeat	chloramphenicol	15 day	High	Repeat	Hypertrophy
Liver_chloramphenicol_High_29day_Repeat	chloramphenicol	29 day	High	Repeat	Hypertrophy
Liver_chloramphenicol_Middle_15day_Repeat	chloramphenicol	15 day	Middle	Repeat	Hypertrophy
Liver_chloramphenicol_Middle_29day_Repeat	chloramphenicol	29 day	Middle	Repeat	Hypertrophy
Liver_chlormadinone_High_6hr_Single	chlormadinone	6 hr	High	Single	Deposit..glycogen
Liver_chlormadinone_High_9hr_Single	chlormadinone	9 hr	High	Single	Deposit..glycogen
Liver_chlormadinone_Low_6hr_Single	chlormadinone	6 hr	Low	Single	Deposit..glycogen
Liver_chlormadinone_Low_9hr_Single	chlormadinone	9 hr	Low	Single	Deposit..glycogen
Liver_chlormadinone_Middle_6hr_Single	chlormadinone	6 hr	Middle	Single	Deposit..glycogen
Liver_chlormadinone_Middle_9hr_Single	chlormadinone	9 hr	Middle	Single	Deposit..glycogen
Liver_chlormezanone_High_15day_Repeat	chlormezanone	15 day	High	Repeat	Hypertrophy
Liver_chlormezanone_High_24hr_Single	chlormezanone	24 hr	High	Single	Change..eosinophilic
Liver_chlormezanone_High_29day_Repeat	chlormezanone	29 day	High	Repeat	Hypertrophy
Liver_chlormezanone_High_8day_Repeat	chlormezanone	8 day	High	Repeat	Hypertrophy
Liver_chlormezanone_Middle_29day_Repeat	chlormezanone	29 day	Middle	Repeat	Hypertrophy
Liver_chlorpheniramine_High_15day_Repeat	chlorpheniramine	15 day	High	Repeat	Hypertrophy
Liver_chlorpheniramine_High_29day_Repeat	chlorpheniramine	29 day	High	Repeat	Hypertrophy
Liver_chlorpromazine_High_15day_Repeat	chlorpromazine	15 day	High	Repeat	Lesion.NOS
Liver_chlorpromazine_High_29day_Repeat	chlorpromazine	29 day	High	Repeat	Lesion.NOS
Liver_chlorpromazine_Middle_24hr_Single	chlorpromazine	24 hr	Middle	Single	Necrosis
Liver_chlorpropamide_High_15day_Repeat	chlorpropamide	15 day	High	Repeat	Hypertrophy
Liver_chlorpropamide_High_29day_Repeat	chlorpropamide	29 day	High	Repeat	Hypertrophy
Liver_chlorpropamide_High_4day_Repeat	chlorpropamide	4 day	High	Repeat	Hypertrophy
Liver_chlorpropamide_High_8day_Repeat	chlorpropamide	8 day	High	Repeat	Hypertrophy
Liver_chlorpropamide_Middle_15day_Repeat	chlorpropamide	15 day	Middle	Repeat	Hypertrophy
Liver_chlorpropamide_Middle_29day_Repeat	chlorpropamide	29 day	Middle	Repeat	Hypertrophy
Liver_chlorpropamide_Middle_8day_Repeat	chlorpropamide	8 day	Middle	Repeat	Hypertrophy
Liver_cimetidine_High_29day_Repeat	cimetidine	29 day	High	Repeat	Swelling
Liver_clofibrate_High_15day_Repeat	clofibrate	15 day	High	Repeat	Swelling
Liver_clofibrate_High_15day_Repeat	clofibrate	15 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_clofibrate_High_29day_Repeat	clofibrate	29 day	High	Repeat	Swelling
Liver_clofibrate_High_29day_Repeat	clofibrate	29 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_clofibrate_High_8day_Repeat	clofibrate	8 day	High	Repeat	Swelling
Liver_clofibrate_High_8day_Repeat	clofibrate	8 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_clofibrate_Middle_29day_Repeat	clofibrate	29 day	Middle	Repeat	Swelling
Liver_clofibrate_Middle_29day_Repeat	clofibrate	29 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_clomipramine_High_15day_Repeat	clomipramine	15 day	High	Repeat	Change..eosinophilic
Liver_clomipramine_High_29day_Repeat	clomipramine	29 day	High	Repeat	Change..eosinophilic
Liver_colchicine_Control_8day_Repeat	colchicine	8 day	Control	Repeat	Necrosis
Liver_colchicine_High_24hr_Single	colchicine	24 hr	High	Single	Increased.mitosis
Liver_colchicine_High_24hr_Single	colchicine	24 hr	High	Single	Single.cell.necrosis
Liver_colchicine_High_24hr_Single	colchicine	24 hr	High	Single	Vacuolization..cytoplasmic
Liver_colchicine_High_29day_Repeat	colchicine	29 day	High	Repeat	Increased.mitosis
Liver_colchicine_High_3hr_Single	colchicine	3 hr	High	Single	Increased.mitosis
Liver_colchicine_High_3hr_Single	colchicine	3 hr	High	Single	Single.cell.necrosis
Liver_colchicine_High_4day_Repeat	colchicine	4 day	High	Repeat	Increased.mitosis
Liver_colchicine_High_4day_Repeat	colchicine	4 day	High	Repeat	Cellular.infiltration
Liver_colchicine_High_6hr_Single	colchicine	6 hr	High	Single	Increased.mitosis
Liver_colchicine_High_6hr_Single	colchicine	6 hr	High	Single	Single.cell.necrosis
Liver_colchicine_High_9hr_Single	colchicine	9 hr	High	Single	Increased.mitosis
Liver_colchicine_High_9hr_Single	colchicine	9 hr	High	Single	Single.cell.necrosis
Liver_colchicine_Middle_24hr_Single	colchicine	24 hr	Middle	Single	Increased.mitosis
Liver_colchicine_Middle_3hr_Single	colchicine	3 hr	Middle	Single	Increased.mitosis
Liver_colchicine_Middle_3hr_Single	colchicine	3 hr	Middle	Single	Single.cell.necrosis
Liver_colchicine_Middle_4day_Repeat	colchicine	4 day	Middle	Repeat	Increased.mitosis
Liver_colchicine_Middle_6hr_Single	colchicine	6 hr	Middle	Single	Increased.mitosis
Liver_colchicine_Middle_6hr_Single	colchicine	6 hr	Middle	Single	Single.cell.necrosis
Liver_colchicine_Middle_9hr_Single	colchicine	9 hr	Middle	Single	Increased.mitosis
Liver_colchicine_Middle_9hr_Single	colchicine	9 hr	Middle	Single	Single.cell.necrosis
Liver_coumarin_High_15day_Repeat	coumarin	15 day	High	Repeat	Hypertrophy
Liver_coumarin_High_15day_Repeat	coumarin	15 day	High	Repeat	Inclusion.body..intracytoplasmic
Liver_coumarin_High_15day_Repeat	coumarin	15 day	High	Repeat	Degeneration..vacuolar
Liver_coumarin_High_24hr_Single	coumarin	24 hr	High	Single	Change..eosinophilic
Liver_coumarin_High_29day_Repeat	coumarin	29 day	High	Repeat	Hypertrophy
Liver_coumarin_High_29day_Repeat	coumarin	29 day	High	Repeat	Inclusion.body..intracytoplasmic
Liver_coumarin_High_29day_Repeat	coumarin	29 day	High	Repeat	Degeneration..vacuolar
Liver_coumarin_High_6hr_Single	coumarin	6 hr	High	Single	Increased.mitosis
Liver_coumarin_High_8day_Repeat	coumarin	8 day	High	Repeat	Hypertrophy
Liver_coumarin_High_8day_Repeat	coumarin	8 day	High	Repeat	Inclusion.body..intracytoplasmic
Liver_cycloheximide_High_24hr_Single	cycloheximide	24 hr	High	Single	Change..eosinophilic
Liver_cycloheximide_High_3hr_Single	cycloheximide	3 hr	High	Single	Single.cell.necrosis
Liver_cycloheximide_High_6hr_Single	cycloheximide	6 hr	High	Single	Single.cell.necrosis
Liver_cycloheximide_High_9hr_Single	cycloheximide	9 hr	High	Single	Single.cell.necrosis
Liver_cycloheximide_High_9hr_Single	cycloheximide	9 hr	High	Single	Change..eosinophilic
Liver_cycloheximide_Low_3hr_Single	cycloheximide	3 hr	Low	Single	Single.cell.necrosis
Liver_cycloheximide_Low_9hr_Single	cycloheximide	9 hr	Low	Single	Change..eosinophilic
Liver_cycloheximide_Middle_3hr_Single	cycloheximide	3 hr	Middle	Single	Single.cell.necrosis
Liver_cycloheximide_Middle_6hr_Single	cycloheximide	6 hr	Middle	Single	Single.cell.necrosis
Liver_cycloheximide_Middle_9hr_Single	cycloheximide	9 hr	Middle	Single	Single.cell.necrosis
Liver_cycloheximide_Middle_9hr_Single	cycloheximide	9 hr	Middle	Single	Change..eosinophilic
Liver_cyclophosphamide_Control_15day_Repeat	cyclophosphamide	15 day	Control	Repeat	Microgranuloma
Liver_cyclophosphamide_Control_29day_Repeat	cyclophosphamide	29 day	Control	Repeat	Microgranuloma
Liver_cyclophosphamide_Control_8day_Repeat	cyclophosphamide	8 day	Control	Repeat	Microgranuloma
Liver_cyclophosphamide_High_29day_Repeat	cyclophosphamide	29 day	High	Repeat	Necrosis
Liver_cyclophosphamide_High_29day_Repeat	cyclophosphamide	29 day	High	Repeat	Deposit..pigment
Liver_cyclophosphamide_High_29day_Repeat	cyclophosphamide	29 day	High	Repeat	Hypertrophy
Liver_cyclophosphamide_High_29day_Repeat	cyclophosphamide	29 day	High	Repeat	Change..eosinophilic
Liver_cyclophosphamide_High_4day_Repeat	cyclophosphamide	4 day	High	Repeat	Microgranuloma
Liver_cyclophosphamide_Low_29day_Repeat	cyclophosphamide	29 day	Low	Repeat	Microgranuloma
Liver_cyclophosphamide_Low_4day_Repeat	cyclophosphamide	4 day	Low	Repeat	Microgranuloma
Liver_cyclophosphamide_Low_8day_Repeat	cyclophosphamide	8 day	Low	Repeat	Microgranuloma
Liver_cyclophosphamide_Middle_29day_Repeat	cyclophosphamide	29 day	Middle	Repeat	Microgranuloma
Liver_cyclophosphamide_Middle_4day_Repeat	cyclophosphamide	4 day	Middle	Repeat	Microgranuloma
Liver_cyclosporine_A_High_24hr_Single	cyclosporine_A	24 hr	High	Single	Change..acidophilic
Liver_cyclosporine_A_High_9hr_Single	cyclosporine_A	9 hr	High	Single	Change..acidophilic
Liver_danazol_High_24hr_Single	danazol	24 hr	High	Single	Increased.mitosis
Liver_danazol_Low_24hr_Single	danazol	24 hr	Low	Single	Increased.mitosis
Liver_danazol_Middle_24hr_Single	danazol	24 hr	Middle	Single	Increased.mitosis
Liver_dantrolene_Control_15day_Repeat	dantrolene	15 day	Control	Repeat	Microgranuloma
Liver_dantrolene_High_15day_Repeat	dantrolene	15 day	High	Repeat	Hypertrophy
Liver_dantrolene_High_15day_Repeat	dantrolene	15 day	High	Repeat	Ground.glass.appearance
Liver_dantrolene_High_29day_Repeat	dantrolene	29 day	High	Repeat	Microgranuloma
Liver_dantrolene_High_29day_Repeat	dantrolene	29 day	High	Repeat	Hypertrophy
Liver_dantrolene_High_29day_Repeat	dantrolene	29 day	High	Repeat	Ground.glass.appearance
Liver_dantrolene_Low_29day_Repeat	dantrolene	29 day	Low	Repeat	Hypertrophy
Liver_dantrolene_Middle_29day_Repeat	dantrolene	29 day	Middle	Repeat	Hypertrophy
Liver_dantrolene_Middle_29day_Repeat	dantrolene	29 day	Middle	Repeat	Ground.glass.appearance
Liver_desmopressin_acetate_High_15day_Repeat	desmopressin_acetate	15 day	High	Repeat	Microgranuloma
Liver_dexamethasone_High_24hr_Single	dexamethasone	24 hr	High	Single	Vacuolization..cytoplasmic
Liver_dexamethasone_High_9hr_Single	dexamethasone	9 hr	High	Single	Vacuolization..cytoplasmic
Liver_dexamethasone_Low_24hr_Single	dexamethasone	24 hr	Low	Single	Vacuolization..cytoplasmic
Liver_dexamethasone_Middle_24hr_Single	dexamethasone	24 hr	Middle	Single	Vacuolization..cytoplasmic
Liver_dexamethasone_Middle_9hr_Single	dexamethasone	9 hr	Middle	Single	Vacuolization..cytoplasmic
Liver_diazepam_High_15day_Repeat	diazepam	15 day	High	Repeat	Hypertrophy
Liver_diazepam_High_29day_Repeat	diazepam	29 day	High	Repeat	Hypertrophy
Liver_diazepam_High_8day_Repeat	diazepam	8 day	High	Repeat	Hypertrophy
Liver_diclofenac_High_15day_Repeat	diclofenac	15 day	High	Repeat	Cellular.infiltration
Liver_diethyl_maleate_High_3hr_Single	diethyl_maleate	3 hr	High	Single	Necrosis
Liver_diethyl_maleate_High_3hr_Single	diethyl_maleate	3 hr	High	Single	Increased.mitosis
Liver_diethyl_maleate_High_6hr_Single	diethyl_maleate	6 hr	High	Single	Increased.mitosis
Liver_diethyl_maleate_High_6hr_Single	diethyl_maleate	6 hr	High	Single	Single.cell.necrosis
Liver_diltiazem_High_15day_Repeat	diltiazem	15 day	High	Repeat	Hypertrophy
Liver_diltiazem_High_15day_Repeat	diltiazem	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_diltiazem_High_29day_Repeat	diltiazem	29 day	High	Repeat	Hypertrophy
Liver_diltiazem_High_29day_Repeat	diltiazem	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_diltiazem_High_4day_Repeat	diltiazem	4 day	High	Repeat	Hypertrophy
Liver_diltiazem_High_8day_Repeat	diltiazem	8 day	High	Repeat	Hypertrophy
Liver_diltiazem_Low_29day_Repeat	diltiazem	29 day	Low	Repeat	Hypertrophy
Liver_diltiazem_Middle_15day_Repeat	diltiazem	15 day	Middle	Repeat	Hypertrophy
Liver_diltiazem_Middle_29day_Repeat	diltiazem	29 day	Middle	Repeat	Hypertrophy
Liver_diltiazem_Middle_29day_Repeat	diltiazem	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_disopyramide_High_15day_Repeat	disopyramide	15 day	High	Repeat	Change..eosinophilic
Liver_disopyramide_High_29day_Repeat	disopyramide	29 day	High	Repeat	Change..eosinophilic
Liver_disopyramide_High_8day_Repeat	disopyramide	8 day	High	Repeat	Change..eosinophilic
Liver_disulfiram_High_15day_Repeat	disulfiram	15 day	High	Repeat	Hypertrophy
Liver_disulfiram_High_29day_Repeat	disulfiram	29 day	High	Repeat	Hypertrophy
Liver_disulfiram_High_4day_Repeat	disulfiram	4 day	High	Repeat	Vacuolization..cytoplasmic
Liver_disulfiram_High_8day_Repeat	disulfiram	8 day	High	Repeat	Hypertrophy
Liver_disulfiram_Middle_15day_Repeat	disulfiram	15 day	Middle	Repeat	Hypertrophy
Liver_disulfiram_Middle_29day_Repeat	disulfiram	29 day	Middle	Repeat	Hypertrophy
Liver_enalapril_Control_29day_Repeat	enalapril	29 day	Control	Repeat	Microgranuloma
Liver_enalapril_High_29day_Repeat	enalapril	29 day	High	Repeat	Microgranuloma
Liver_enalapril_High_9hr_Single	enalapril	9 hr	High	Single	Vacuolization..cytoplasmic
Liver_erythromycin_ethylsuccinate_High_29day_Repeat	erythromycin_ethylsuccinate	29 day	High	Repeat	Hypertrophy
Liver_ethambutol_High_15day_Repeat	ethambutol	15 day	High	Repeat	Single.cell.necrosis
Liver_ethambutol_High_15day_Repeat	ethambutol	15 day	High	Repeat	Deposit..pigment
Liver_ethambutol_High_15day_Repeat	ethambutol	15 day	High	Repeat	Ground.glass.appearance
Liver_ethambutol_High_15day_Repeat	ethambutol	15 day	High	Repeat	Change..eosinophilic
Liver_ethambutol_High_15day_Repeat	ethambutol	15 day	High	Repeat	Alteration..nuclear
Liver_ethambutol_High_15day_Repeat	ethambutol	15 day	High	Repeat	Proliferation..Kupffer.cell
Liver_ethambutol_High_24hr_Single	ethambutol	24 hr	High	Single	Ground.glass.appearance
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Single.cell.necrosis
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Anisonucleosis
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Deposit..pigment
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Change..eosinophilic
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Alteration..nuclear
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Proliferation..Kupffer.cell
Liver_ethambutol_High_29day_Repeat	ethambutol	29 day	High	Repeat	Inclusion.body..intracytoplasmic
Liver_ethambutol_High_8day_Repeat	ethambutol	8 day	High	Repeat	Single.cell.necrosis
Liver_ethambutol_High_8day_Repeat	ethambutol	8 day	High	Repeat	Anisonucleosis
Liver_ethambutol_High_8day_Repeat	ethambutol	8 day	High	Repeat	Change..eosinophilic
Liver_ethambutol_High_8day_Repeat	ethambutol	8 day	High	Repeat	Alteration..nuclear
Liver_ethambutol_High_8day_Repeat	ethambutol	8 day	High	Repeat	Proliferation..Kupffer.cell
Liver_ethambutol_High_8day_Repeat	ethambutol	8 day	High	Repeat	Inclusion.body..intracytoplasmic
Liver_ethambutol_Low_15day_Repeat	ethambutol	15 day	Low	Repeat	Ground.glass.appearance
Liver_ethambutol_Low_29day_Repeat	ethambutol	29 day	Low	Repeat	Hypertrophy
Liver_ethambutol_Low_29day_Repeat	ethambutol	29 day	Low	Repeat	Ground.glass.appearance
Liver_ethambutol_Middle_15day_Repeat	ethambutol	15 day	Middle	Repeat	Hypertrophy
Liver_ethambutol_Middle_15day_Repeat	ethambutol	15 day	Middle	Repeat	Ground.glass.appearance
Liver_ethambutol_Middle_15day_Repeat	ethambutol	15 day	Middle	Repeat	Alteration..nuclear
Liver_ethambutol_Middle_24hr_Single	ethambutol	24 hr	Middle	Single	Increased.mitosis
Liver_ethambutol_Middle_29day_Repeat	ethambutol	29 day	Middle	Repeat	Single.cell.necrosis
Liver_ethambutol_Middle_29day_Repeat	ethambutol	29 day	Middle	Repeat	Hypertrophy
Liver_ethambutol_Middle_29day_Repeat	ethambutol	29 day	Middle	Repeat	Ground.glass.appearance
Liver_ethambutol_Middle_29day_Repeat	ethambutol	29 day	Middle	Repeat	Alteration..nuclear
Liver_ethambutol_Middle_8day_Repeat	ethambutol	8 day	Middle	Repeat	Single.cell.necrosis
Liver_ethambutol_Middle_8day_Repeat	ethambutol	8 day	Middle	Repeat	Hypertrophy
Liver_ethambutol_Middle_8day_Repeat	ethambutol	8 day	Middle	Repeat	Ground.glass.appearance
Liver_ethanol_Control_29day_Repeat	ethanol	29 day	Control	Repeat	Microgranuloma
Liver_ethanol_High_15day_Repeat	ethanol	15 day	High	Repeat	Microgranuloma
Liver_ethanol_High_29day_Repeat	ethanol	29 day	High	Repeat	Change..eosinophilic
Liver_ethanol_High_9hr_Single	ethanol	9 hr	High	Single	Deposit..lipid
Liver_ethanol_Middle_15day_Repeat	ethanol	15 day	Middle	Repeat	Microgranuloma
Liver_ethinylestradiol_High_15day_Repeat	ethinylestradiol	15 day	High	Repeat	Change..eosinophilic
Liver_ethinylestradiol_High_15day_Repeat	ethinylestradiol	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ethinylestradiol_High_29day_Repeat	ethinylestradiol	29 day	High	Repeat	Hypertrophy
Liver_ethinylestradiol_High_29day_Repeat	ethinylestradiol	29 day	High	Repeat	Change..eosinophilic
Liver_ethinylestradiol_High_29day_Repeat	ethinylestradiol	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ethinylestradiol_High_29day_Repeat	ethinylestradiol	29 day	High	Repeat	Proliferation..Kupffer.cell
Liver_ethinylestradiol_High_29day_Repeat	ethinylestradiol	29 day	High	Repeat	Dilatation
Liver_ethinylestradiol_High_8day_Repeat	ethinylestradiol	8 day	High	Repeat	Change..eosinophilic
Liver_ethinylestradiol_Middle_15day_Repeat	ethinylestradiol	15 day	Middle	Repeat	Change..eosinophilic
Liver_ethinylestradiol_Middle_29day_Repeat	ethinylestradiol	29 day	Middle	Repeat	Change..eosinophilic
Liver_ethinylestradiol_Middle_29day_Repeat	ethinylestradiol	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_Control_29day_Repeat	ethionamide	29 day	Control	Repeat	Microgranuloma
Liver_ethionamide_High_15day_Repeat	ethionamide	15 day	High	Repeat	Single.cell.necrosis
Liver_ethionamide_High_15day_Repeat	ethionamide	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_High_24hr_Single	ethionamide	24 hr	High	Single	Single.cell.necrosis
Liver_ethionamide_High_24hr_Single	ethionamide	24 hr	High	Single	Microgranuloma
Liver_ethionamide_High_24hr_Single	ethionamide	24 hr	High	Single	Hypertrophy
Liver_ethionamide_High_3hr_Single	ethionamide	3 hr	High	Single	Single.cell.necrosis
Liver_ethionamide_High_4day_Repeat	ethionamide	4 day	High	Repeat	Increased.mitosis
Liver_ethionamide_High_4day_Repeat	ethionamide	4 day	High	Repeat	Single.cell.necrosis
Liver_ethionamide_High_4day_Repeat	ethionamide	4 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_High_4day_Repeat	ethionamide	4 day	High	Repeat	Vacuolization..nuclear
Liver_ethionamide_High_6hr_Single	ethionamide	6 hr	High	Single	Single.cell.necrosis
Liver_ethionamide_High_8day_Repeat	ethionamide	8 day	High	Repeat	Single.cell.necrosis
Liver_ethionamide_High_8day_Repeat	ethionamide	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_High_9hr_Single	ethionamide	9 hr	High	Single	Single.cell.necrosis
Liver_ethionamide_High_9hr_Single	ethionamide	9 hr	High	Single	Microgranuloma
Liver_ethionamide_High_9hr_Single	ethionamide	9 hr	High	Single	Hypertrophy
Liver_ethionamide_High_9hr_Single	ethionamide	9 hr	High	Single	Change..eosinophilic
Liver_ethionamide_Low_24hr_Single	ethionamide	24 hr	Low	Single	Single.cell.necrosis
Liver_ethionamide_Low_24hr_Single	ethionamide	24 hr	Low	Single	Microgranuloma
Liver_ethionamide_Low_3hr_Single	ethionamide	3 hr	Low	Single	Single.cell.necrosis
Liver_ethionamide_Low_6hr_Single	ethionamide	6 hr	Low	Single	Single.cell.necrosis
Liver_ethionamide_Low_6hr_Single	ethionamide	6 hr	Low	Single	Microgranuloma
Liver_ethionamide_Low_9hr_Single	ethionamide	9 hr	Low	Single	Single.cell.necrosis
Liver_ethionamide_Low_9hr_Single	ethionamide	9 hr	Low	Single	Microgranuloma
Liver_ethionamide_Low_9hr_Single	ethionamide	9 hr	Low	Single	Change..eosinophilic
Liver_ethionamide_Middle_15day_Repeat	ethionamide	15 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_Middle_24hr_Single	ethionamide	24 hr	Middle	Single	Single.cell.necrosis
Liver_ethionamide_Middle_24hr_Single	ethionamide	24 hr	Middle	Single	Microgranuloma
Liver_ethionamide_Middle_29day_Repeat	ethionamide	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_Middle_3hr_Single	ethionamide	3 hr	Middle	Single	Single.cell.necrosis
Liver_ethionamide_Middle_4day_Repeat	ethionamide	4 day	Middle	Repeat	Increased.mitosis
Liver_ethionamide_Middle_4day_Repeat	ethionamide	4 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_Middle_6hr_Single	ethionamide	6 hr	Middle	Single	Single.cell.necrosis
Liver_ethionamide_Middle_8day_Repeat	ethionamide	8 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_ethionamide_Middle_9hr_Single	ethionamide	9 hr	Middle	Single	Single.cell.necrosis
Liver_ethionamide_Middle_9hr_Single	ethionamide	9 hr	Middle	Single	Microgranuloma
Liver_ethionamide_Middle_9hr_Single	ethionamide	9 hr	Middle	Single	Change..eosinophilic
Liver_ethionine_High_15day_Repeat	ethionine	15 day	High	Repeat	Alteration..cytoplasmic
Liver_ethionine_High_24hr_Single	ethionine	24 hr	High	Single	Cellular.infiltration
Liver_ethionine_High_24hr_Single	ethionine	24 hr	High	Single	Change..eosinophilic
Liver_ethionine_High_29day_Repeat	ethionine	29 day	High	Repeat	Alteration..cytoplasmic
Liver_ethionine_High_4day_Repeat	ethionine	4 day	High	Repeat	Cellular.infiltration
Liver_ethionine_High_4day_Repeat	ethionine	4 day	High	Repeat	Change..eosinophilic
Liver_ethionine_High_4day_Repeat	ethionine	4 day	High	Repeat	Alteration..cytoplasmic
Liver_ethionine_High_8day_Repeat	ethionine	8 day	High	Repeat	Change..eosinophilic
Liver_ethionine_High_8day_Repeat	ethionine	8 day	High	Repeat	Alteration..cytoplasmic
Liver_ethionine_High_9hr_Single	ethionine	9 hr	High	Single	Cellular.infiltration
Liver_ethionine_High_9hr_Single	ethionine	9 hr	High	Single	Change..basophilic
Liver_ethionine_Middle_15day_Repeat	ethionine	15 day	Middle	Repeat	Alteration..cytoplasmic
Liver_ethionine_Middle_24hr_Single	ethionine	24 hr	Middle	Single	Cellular.infiltration
Liver_ethionine_Middle_24hr_Single	ethionine	24 hr	Middle	Single	Change..eosinophilic
Liver_ethionine_Middle_4day_Repeat	ethionine	4 day	Middle	Repeat	Change..eosinophilic
Liver_ethionine_Middle_4day_Repeat	ethionine	4 day	Middle	Repeat	Alteration..cytoplasmic
Liver_ethionine_Middle_8day_Repeat	ethionine	8 day	Middle	Repeat	Alteration..cytoplasmic
Liver_ethionine_Middle_9hr_Single	ethionine	9 hr	Middle	Single	Change..basophilic
Liver_etoposide_Low_8day_Repeat	etoposide	8 day	Low	Repeat	Microgranuloma
Liver_fenofibrate_High_15day_Repeat	fenofibrate	15 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_High_24hr_Single	fenofibrate	24 hr	High	Single	Increased.mitosis
Liver_fenofibrate_High_29day_Repeat	fenofibrate	29 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_High_4day_Repeat	fenofibrate	4 day	High	Repeat	Increased.mitosis
Liver_fenofibrate_High_4day_Repeat	fenofibrate	4 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_High_8day_Repeat	fenofibrate	8 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_Low_24hr_Single	fenofibrate	24 hr	Low	Single	Increased.mitosis
Liver_fenofibrate_Low_29day_Repeat	fenofibrate	29 day	Low	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_Middle_15day_Repeat	fenofibrate	15 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_Middle_24hr_Single	fenofibrate	24 hr	Middle	Single	Increased.mitosis
Liver_fenofibrate_Middle_29day_Repeat	fenofibrate	29 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_Middle_4day_Repeat	fenofibrate	4 day	Middle	Repeat	Increased.mitosis
Liver_fenofibrate_Middle_4day_Repeat	fenofibrate	4 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_fenofibrate_Middle_8day_Repeat	fenofibrate	8 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_fluoxetine_hydrochloride_High_29day_Repeat	fluoxetine_hydrochloride	29 day	High	Repeat	Hypertrophy
Liver_fluoxetine_hydrochloride_High_29day_Repeat	fluoxetine_hydrochloride	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_flutamide_High_15day_Repeat	flutamide	15 day	High	Repeat	Hypertrophy
Liver_flutamide_High_29day_Repeat	flutamide	29 day	High	Repeat	Hypertrophy
Liver_flutamide_High_8day_Repeat	flutamide	8 day	High	Repeat	Hypertrophy
Liver_flutamide_Middle_29day_Repeat	flutamide	29 day	Middle	Repeat	Hypertrophy
Liver_galactosamine_High_24hr_Single	galactosamine	24 hr	High	Single	Single.cell.necrosis
Liver_galactosamine_High_24hr_Single	galactosamine	24 hr	High	Single	Cellular.infiltration
Liver_galactosamine_High_24hr_Single	galactosamine	24 hr	High	Single	Degeneration
Liver_galactosamine_High_3hr_Single	galactosamine	3 hr	High	Single	Single.cell.necrosis
Liver_galactosamine_High_3hr_Single	galactosamine	3 hr	High	Single	Degeneration
Liver_galactosamine_High_6hr_Single	galactosamine	6 hr	High	Single	Single.cell.necrosis
