treatment	chems	SIN_REP_TYPE	SACRI_PERIOD	DOSE_LEVEL	Out	Change
Liver_chlorpropamide_High_15day_Repeat	chlorpropamide	Repeat	15 day	High	K.meq.L.	Decrease
Liver_chlorpropamide_High_15day_Repeat	chlorpropamide	Repeat	15 day	High	Cl.meq.L.	Increase
Liver_chlorpropamide_High_15day_Repeat	chlorpropamide	Repeat	15 day	High	TERMINAL_BW.g.	Decrease
Liver_chlorpropamide_High_29day_Repeat	chlorpropamide	Repeat	29 day	High	K.meq.L.	Decrease
Liver_chlorpropamide_High_3hr_Single	chlorpropamide	Single	3 hr	High	Hb.g.dL.	Increase
Liver_chlorpropamide_High_3hr_Single	chlorpropamide	Single	3 hr	High	Ht...	Increase
Liver_chlorpropamide_High_3hr_Single	chlorpropamide	Single	3 hr	High	RBC.x10_4.ul.	Increase
Liver_chlorpropamide_High_3hr_Single	chlorpropamide	Single	3 hr	High	TP.g.dL.	Increase
Liver_chlorpropamide_High_3hr_Single	chlorpropamide	Single	3 hr	High	GLC.mg.dL.	Decrease
Liver_chlorpropamide_High_4day_Repeat	chlorpropamide	Repeat	4 day	High	LIVER.g.	Decrease
Liver_chlorpropamide_High_4day_Repeat	chlorpropamide	Repeat	4 day	High	TERMINAL_BW.g.	Decrease
Liver_chlorpropamide_High_4day_Repeat	chlorpropamide	Repeat	4 day	High	K.meq.L.	Decrease
Liver_chlorpropamide_High_4day_Repeat	chlorpropamide	Repeat	4 day	High	Cl.meq.L.	Increase
Liver_chlorpropamide_High_6hr_Single	chlorpropamide	Single	6 hr	High	Hb.g.dL.	Increase
Liver_chlorpropamide_High_6hr_Single	chlorpropamide	Single	6 hr	High	GLC.mg.dL.	Decrease
Liver_chlorpropamide_High_6hr_Single	chlorpropamide	Single	6 hr	High	TP.g.dL.	Increase
Liver_chlorpropamide_High_6hr_Single	chlorpropamide	Single	6 hr	High	Fbg.mg.dL.	Increase
Liver_chlorpropamide_High_6hr_Single	chlorpropamide	Single	6 hr	High	Ht...	Increase
Liver_chlorpropamide_High_8day_Repeat	chlorpropamide	Repeat	8 day	High	K.meq.L.	Decrease
Liver_chlorpropamide_High_8day_Repeat	chlorpropamide	Repeat	8 day	High	Cl.meq.L.	Increase
Liver_chlorpropamide_High_9hr_Single	chlorpropamide	Single	9 hr	High	GLC.mg.dL.	Decrease
Liver_chlorpropamide_High_9hr_Single	chlorpropamide	Single	9 hr	High	Fbg.mg.dL.	Increase
Liver_chlorpropamide_High_9hr_Single	chlorpropamide	Single	9 hr	High	PT.s.	Increase
Liver_chlorpropamide_Low_24hr_Single	chlorpropamide	Single	24 hr	Low	APTT.s.	Increase
Liver_chlorpropamide_Low_3hr_Single	chlorpropamide	Single	3 hr	Low	GLC.mg.dL.	Decrease
Liver_chlorpropamide_Middle_29day_Repeat	chlorpropamide	Repeat	29 day	Middle	K.meq.L.	Decrease
Liver_chlorpropamide_Middle_3hr_Single	chlorpropamide	Single	3 hr	Middle	GLC.mg.dL.	Decrease
Liver_chlorpropamide_Middle_3hr_Single	chlorpropamide	Single	3 hr	Middle	Na.meq.L.	Increase
Liver_chlorpropamide_Middle_6hr_Single	chlorpropamide	Single	6 hr	Middle	APTT.s.	Increase
Liver_chlorpropamide_Middle_6hr_Single	chlorpropamide	Single	6 hr	Middle	GLC.mg.dL.	Decrease
Liver_chlorpropamide_Middle_9hr_Single	chlorpropamide	Single	9 hr	Middle	GLC.mg.dL.	Decrease
Liver_cimetidine_Control_24hr_Single	cimetidine	Single	24 hr	Control	GLC.mg.dL.	Increase
Liver_cimetidine_High_29day_Repeat	cimetidine	Repeat	29 day	High	GLC.mg.dL.	Increase
Liver_cimetidine_High_29day_Repeat	cimetidine	Repeat	29 day	High	Cl.meq.L.	Decrease
Liver_cimetidine_Low_29day_Repeat	cimetidine	Repeat	29 day	Low	GLC.mg.dL.	Increase
Liver_cimetidine_Low_6hr_Single	cimetidine	Single	6 hr	Low	GTP.IU.L.	Increase
Liver_cimetidine_Low_8day_Repeat	cimetidine	Repeat	8 day	Low	GLC.mg.dL.	Increase
Liver_cimetidine_Middle_29day_Repeat	cimetidine	Repeat	29 day	Middle	GLC.mg.dL.	Increase
Liver_cimetidine_Middle_8day_Repeat	cimetidine	Repeat	8 day	Middle	GLC.mg.dL.	Increase
Liver_ciprofloxacin_Control_15day_Repeat	ciprofloxacin	Repeat	15 day	Control	PT.s.	Decrease
Liver_ciprofloxacin_Control_29day_Repeat	ciprofloxacin	Repeat	29 day	Control	PT.s.	Decrease
Liver_ciprofloxacin_Control_3hr_Single	ciprofloxacin	Single	3 hr	Control	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_High_15day_Repeat	ciprofloxacin	Repeat	15 day	High	PT.s.	Decrease
Liver_ciprofloxacin_High_24hr_Single	ciprofloxacin	Single	24 hr	High	TP.g.dL.	Increase
Liver_ciprofloxacin_High_29day_Repeat	ciprofloxacin	Repeat	29 day	High	PT.s.	Decrease
Liver_ciprofloxacin_High_3hr_Single	ciprofloxacin	Single	3 hr	High	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_High_6hr_Single	ciprofloxacin	Single	6 hr	High	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_High_9hr_Single	ciprofloxacin	Single	9 hr	High	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_Low_15day_Repeat	ciprofloxacin	Repeat	15 day	Low	PT.s.	Decrease
Liver_ciprofloxacin_Low_29day_Repeat	ciprofloxacin	Repeat	29 day	Low	PT.s.	Decrease
Liver_ciprofloxacin_Low_6hr_Single	ciprofloxacin	Single	6 hr	Low	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_Low_6hr_Single	ciprofloxacin	Single	6 hr	Low	K.meq.L.	Increase
Liver_ciprofloxacin_Low_9hr_Single	ciprofloxacin	Single	9 hr	Low	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_Middle_15day_Repeat	ciprofloxacin	Repeat	15 day	Middle	PT.s.	Decrease
Liver_ciprofloxacin_Middle_29day_Repeat	ciprofloxacin	Repeat	29 day	Middle	PT.s.	Decrease
Liver_ciprofloxacin_Middle_3hr_Single	ciprofloxacin	Single	3 hr	Middle	Ret...	Increase
Liver_ciprofloxacin_Middle_4day_Repeat	ciprofloxacin	Repeat	4 day	Middle	LIVER.g.	Decrease
Liver_ciprofloxacin_Middle_6hr_Single	ciprofloxacin	Single	6 hr	Middle	TERMINAL_BW.g.	Decrease
Liver_ciprofloxacin_Middle_6hr_Single	ciprofloxacin	Single	6 hr	Middle	Ca.mg.dL.	Increase
Liver_ciprofloxacin_Middle_9hr_Single	ciprofloxacin	Single	9 hr	Middle	TERMINAL_BW.g.	Decrease
Liver_cisplatin_Control_9hr_Single	cisplatin	Single	9 hr	Control	Ret...	Decrease
Liver_cisplatin_High_15day_Repeat	cisplatin	Repeat	15 day	High	LIVER.g.	Decrease
Liver_cisplatin_High_15day_Repeat	cisplatin	Repeat	15 day	High	Plat.x10_4.uL.	Decrease
Liver_cisplatin_High_15day_Repeat	cisplatin	Repeat	15 day	High	WBC.x10_2.uL.	Decrease
Liver_cisplatin_High_15day_Repeat	cisplatin	Repeat	15 day	High	BUN.mg.dL.	Increase
Liver_cisplatin_High_15day_Repeat	cisplatin	Repeat	15 day	High	TERMINAL_BW.g.	Decrease
Liver_cisplatin_High_15day_Repeat	cisplatin	Repeat	15 day	High	Ret...	Decrease
Liver_cisplatin_High_24hr_Single	cisplatin	Single	24 hr	High	Ret...	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	LIVER.g.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Hb.g.dL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	TERMINAL_BW.g.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	ALP.IU.L.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	IP.mg.dL.	Increase
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Ret...	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Na.meq.L.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	BUN.mg.dL.	Increase
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	WBC.x10_2.uL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	RALB.g.dL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Plat.x10_4.uL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	LDH.IU.L.	Increase
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	MCV.fL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Ca.mg.dL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Ht...	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	CRE.mg.dL.	Increase
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	AST.IU.L.	Increase
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	K.meq.L.	Increase
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	TP.g.dL.	Decrease
Liver_cisplatin_High_29day_Repeat	cisplatin	Repeat	29 day	High	Cl.meq.L.	Decrease
Liver_cisplatin_High_8day_Repeat	cisplatin	Repeat	8 day	High	WBC.x10_2.uL.	Decrease
Liver_cisplatin_High_8day_Repeat	cisplatin	Repeat	8 day	High	IP.mg.dL.	Decrease
Liver_cisplatin_High_8day_Repeat	cisplatin	Repeat	8 day	High	Ret...	Decrease
Liver_cisplatin_High_9hr_Single	cisplatin	Single	9 hr	High	Ret...	Decrease
Liver_cisplatin_Middle_29day_Repeat	cisplatin	Repeat	29 day	Middle	Ret...	Decrease
Liver_clofibrate_Control_3hr_Single	clofibrate	Single	3 hr	Control	DBIL.mg.dL.	Increase
Liver_clofibrate_Control_3hr_Single	clofibrate	Single	3 hr	Control	TG.mg.dL.	Increase
Liver_clofibrate_Control_3hr_Single	clofibrate	Single	3 hr	Control	PL.mg.dL.	Increase
Liver_clofibrate_Control_6hr_Single	clofibrate	Single	6 hr	Control	Eos...	Increase
Liver_clofibrate_High_15day_Repeat	clofibrate	Repeat	15 day	High	PL.mg.dL.	Decrease
Liver_clofibrate_High_15day_Repeat	clofibrate	Repeat	15 day	High	TC.mg.dL.	Decrease
Liver_clofibrate_High_15day_Repeat	clofibrate	Repeat	15 day	High	Fbg.mg.dL.	Decrease
Liver_clofibrate_High_24hr_Single	clofibrate	Single	24 hr	High	PL.mg.dL.	Decrease
Liver_clofibrate_High_24hr_Single	clofibrate	Single	24 hr	High	TC.mg.dL.	Decrease
Liver_clofibrate_High_29day_Repeat	clofibrate	Repeat	29 day	High	IP.mg.dL.	Decrease
Liver_clofibrate_High_4day_Repeat	clofibrate	Repeat	4 day	High	TC.mg.dL.	Decrease
Liver_clofibrate_High_4day_Repeat	clofibrate	Repeat	4 day	High	LIVER.g.	Increase
Liver_clofibrate_High_6hr_Single	clofibrate	Single	6 hr	High	TERMINAL_BW.g.	Increase
Liver_clofibrate_High_8day_Repeat	clofibrate	Repeat	8 day	High	PL.mg.dL.	Decrease
Liver_clofibrate_High_8day_Repeat	clofibrate	Repeat	8 day	High	TC.mg.dL.	Decrease
Liver_clofibrate_High_8day_Repeat	clofibrate	Repeat	8 day	High	LDH.IU.L.	Increase
Liver_clofibrate_High_8day_Repeat	clofibrate	Repeat	8 day	High	LIVER.g.	Increase
Liver_clofibrate_High_9hr_Single	clofibrate	Single	9 hr	High	TERMINAL_BW.g.	Increase
Liver_clofibrate_Low_3hr_Single	clofibrate	Single	3 hr	Low	TG.mg.dL.	Increase
Liver_clofibrate_Low_3hr_Single	clofibrate	Single	3 hr	Low	DBIL.mg.dL.	Increase
Liver_clofibrate_Low_8day_Repeat	clofibrate	Repeat	8 day	Low	K.meq.L.	Decrease
Liver_clofibrate_Middle_3hr_Single	clofibrate	Single	3 hr	Middle	MCV.fL.	Decrease
Liver_clofibrate_Middle_3hr_Single	clofibrate	Single	3 hr	Middle	DBIL.mg.dL.	Increase
Liver_clofibrate_Middle_6hr_Single	clofibrate	Single	6 hr	Middle	DBIL.mg.dL.	Increase
Liver_clomipramine_Control_3hr_Single	clomipramine	Single	3 hr	Control	APTT.s.	Increase
Liver_clomipramine_Control_8day_Repeat	clomipramine	Repeat	8 day	Control	TERMINAL_BW.g.	Increase
Liver_clomipramine_High_15day_Repeat	clomipramine	Repeat	15 day	High	ALP.IU.L.	Increase
Liver_clomipramine_High_24hr_Single	clomipramine	Single	24 hr	High	Plat.x10_4.uL.	Increase
Liver_clomipramine_High_24hr_Single	clomipramine	Single	24 hr	High	RBC.x10_4.ul.	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	ALP.IU.L.	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	Na.meq.L.	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	ALT.IU.L.	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	RBC.x10_4.ul.	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	AST.IU.L.	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	Ht...	Increase
Liver_clomipramine_High_29day_Repeat	clomipramine	Repeat	29 day	High	Hb.g.dL.	Increase
Liver_clomipramine_High_3hr_Single	clomipramine	Single	3 hr	High	BUN.mg.dL.	Decrease
Liver_clomipramine_High_3hr_Single	clomipramine	Single	3 hr	High	Ht...	Increase
Liver_clomipramine_High_4day_Repeat	clomipramine	Repeat	4 day	High	RALB.g.dL.	Decrease
Liver_clomipramine_High_6hr_Single	clomipramine	Single	6 hr	High	Ht...	Increase
Liver_clomipramine_High_6hr_Single	clomipramine	Single	6 hr	High	ALP.IU.L.	Increase
Liver_clomipramine_High_8day_Repeat	clomipramine	Repeat	8 day	High	Ht...	Increase
Liver_clomipramine_High_8day_Repeat	clomipramine	Repeat	8 day	High	ALP.IU.L.	Increase
Liver_clomipramine_High_9hr_Single	clomipramine	Single	9 hr	High	Ht...	Increase
Liver_clomipramine_Low_3hr_Single	clomipramine	Single	3 hr	Low	Ht...	Increase
Liver_clomipramine_Low_4day_Repeat	clomipramine	Repeat	4 day	Low	TERMINAL_BW.g.	Increase
Liver_clomipramine_Low_6hr_Single	clomipramine	Single	6 hr	Low	MCHC...	Decrease
Liver_clomipramine_Middle_15day_Repeat	clomipramine	Repeat	15 day	Middle	Na.meq.L.	Increase
Liver_clomipramine_Middle_3hr_Single	clomipramine	Single	3 hr	Middle	Ht...	Increase
Liver_clomipramine_Middle_6hr_Single	clomipramine	Single	6 hr	Middle	RBC.x10_4.ul.	Increase
Liver_colchicine_Control_15day_Repeat	colchicine	Repeat	15 day	Control	PT.s.	Decrease
Liver_colchicine_Control_24hr_Single	colchicine	Single	24 hr	Control	PT.s.	Decrease
Liver_colchicine_Control_4day_Repeat	colchicine	Repeat	4 day	Control	GLC.mg.dL.	Increase
Liver_colchicine_Control_9hr_Single	colchicine	Single	9 hr	Control	Neu...	Decrease
Liver_colchicine_High_15day_Repeat	colchicine	Repeat	15 day	High	PT.s.	Decrease
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	TG.mg.dL.	Decrease
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	TBIL.mg.dL.	Increase
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	RBC.x10_4.ul.	Increase
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	Fbg.mg.dL.	Decrease
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	DBIL.mg.dL.	Increase
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	Hb.g.dL.	Increase
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	ALT.IU.L.	Increase
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	Ht...	Increase
Liver_colchicine_High_24hr_Single	colchicine	Single	24 hr	High	AST.IU.L.	Increase
Liver_colchicine_High_3hr_Single	colchicine	Single	3 hr	High	LDH.IU.L.	Increase
Liver_colchicine_High_3hr_Single	colchicine	Single	3 hr	High	AST.IU.L.	Increase
Liver_colchicine_High_3hr_Single	colchicine	Single	3 hr	High	Mono...	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	IP.mg.dL.	Decrease
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	GTP.IU.L.	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	Mono...	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	Ca.mg.dL.	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	AST.IU.L.	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	DBIL.mg.dL.	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	ALT.IU.L.	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	TC.mg.dL.	Increase
Liver_colchicine_High_4day_Repeat	colchicine	Repeat	4 day	High	TBIL.mg.dL.	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	AST.IU.L.	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	LDH.IU.L.	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	DBIL.mg.dL.	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	ALT.IU.L.	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	GTP.IU.L.	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	Ht...	Increase
Liver_colchicine_High_6hr_Single	colchicine	Single	6 hr	High	TG.mg.dL.	Decrease
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	ALT.IU.L.	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	TG.mg.dL.	Decrease
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	AST.IU.L.	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	Plat.x10_4.uL.	Decrease
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	Mono...	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	DBIL.mg.dL.	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	LDH.IU.L.	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	Hb.g.dL.	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	TBIL.mg.dL.	Increase
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	Lym...	Decrease
Liver_colchicine_High_9hr_Single	colchicine	Single	9 hr	High	Ht...	Increase
Liver_colchicine_Low_3hr_Single	colchicine	Single	3 hr	Low	Neu...	Decrease
Liver_colchicine_Middle_15day_Repeat	colchicine	Repeat	15 day	Middle	Mono...	Increase
Liver_colchicine_Middle_15day_Repeat	colchicine	Repeat	15 day	Middle	PT.s.	Decrease
Liver_colchicine_Middle_24hr_Single	colchicine	Single	24 hr	Middle	TBIL.mg.dL.	Increase
Liver_colchicine_Middle_24hr_Single	colchicine	Single	24 hr	Middle	IP.mg.dL.	Decrease
Liver_colchicine_Middle_3hr_Single	colchicine	Single	3 hr	Middle	AST.IU.L.	Increase
Liver_colchicine_Middle_6hr_Single	colchicine	Single	6 hr	Middle	LDH.IU.L.	Increase
Liver_colchicine_Middle_6hr_Single	colchicine	Single	6 hr	Middle	AST.IU.L.	Increase
Liver_colchicine_Middle_6hr_Single	colchicine	Single	6 hr	Middle	ALT.IU.L.	Increase
Liver_colchicine_Middle_9hr_Single	colchicine	Single	9 hr	Middle	AST.IU.L.	Increase
Liver_colchicine_Middle_9hr_Single	colchicine	Single	9 hr	Middle	ALT.IU.L.	Increase
Liver_colchicine_Middle_9hr_Single	colchicine	Single	9 hr	Middle	Mono...	Increase
Liver_coumarin_High_15day_Repeat	coumarin	Repeat	15 day	High	TC.mg.dL.	Increase
Liver_coumarin_High_15day_Repeat	coumarin	Repeat	15 day	High	PL.mg.dL.	Increase
Liver_coumarin_High_24hr_Single	coumarin	Single	24 hr	High	TERMINAL_BW.g.	Decrease
Liver_coumarin_High_24hr_Single	coumarin	Single	24 hr	High	Fbg.mg.dL.	Decrease
Liver_coumarin_High_29day_Repeat	coumarin	Repeat	29 day	High	PL.mg.dL.	Increase
Liver_coumarin_High_29day_Repeat	coumarin	Repeat	29 day	High	TP.g.dL.	Increase
Liver_coumarin_High_29day_Repeat	coumarin	Repeat	29 day	High	ALT.IU.L.	Increase
Liver_coumarin_High_29day_Repeat	coumarin	Repeat	29 day	High	RALB.g.dL.	Increase
Liver_coumarin_High_3hr_Single	coumarin	Single	3 hr	High	Plat.x10_4.uL.	Increase
Liver_coumarin_High_4day_Repeat	coumarin	Repeat	4 day	High	Fbg.mg.dL.	Decrease
Liver_coumarin_High_4day_Repeat	coumarin	Repeat	4 day	High	TERMINAL_BW.g.	Decrease
Liver_coumarin_High_6hr_Single	coumarin	Single	6 hr	High	RALB.g.dL.	Increase
Liver_coumarin_High_6hr_Single	coumarin	Single	6 hr	High	TERMINAL_BW.g.	Decrease
Liver_coumarin_High_6hr_Single	coumarin	Single	6 hr	High	Hb.g.dL.	Increase
Liver_coumarin_High_6hr_Single	coumarin	Single	6 hr	High	RBC.x10_4.ul.	Increase
Liver_coumarin_High_6hr_Single	coumarin	Single	6 hr	High	Ht...	Increase
Liver_coumarin_High_6hr_Single	coumarin	Single	6 hr	High	TP.g.dL.	Increase
Liver_coumarin_High_8day_Repeat	coumarin	Repeat	8 day	High	TERMINAL_BW.g.	Decrease
Liver_coumarin_High_9hr_Single	coumarin	Single	9 hr	High	TERMINAL_BW.g.	Decrease
Liver_coumarin_High_9hr_Single	coumarin	Single	9 hr	High	Fbg.mg.dL.	Decrease
Liver_coumarin_Low_29day_Repeat	coumarin	Repeat	29 day	Low	Mono...	Increase
Liver_coumarin_Low_3hr_Single	coumarin	Single	3 hr	Low	TP.g.dL.	Increase
Liver_coumarin_Low_3hr_Single	coumarin	Single	3 hr	Low	TERMINAL_BW.g.	Decrease
Liver_coumarin_Low_4day_Repeat	coumarin	Repeat	4 day	Low	Fbg.mg.dL.	Decrease
Liver_coumarin_Low_6hr_Single	coumarin	Single	6 hr	Low	Eos...	Increase
Liver_coumarin_Low_9hr_Single	coumarin	Single	9 hr	Low	IP.mg.dL.	Increase
Liver_coumarin_Middle_15day_Repeat	coumarin	Repeat	15 day	Middle	PL.mg.dL.	Increase
Liver_coumarin_Middle_29day_Repeat	coumarin	Repeat	29 day	Middle	RALB.g.dL.	Increase
Liver_coumarin_Middle_29day_Repeat	coumarin	Repeat	29 day	Middle	TP.g.dL.	Increase
Liver_coumarin_Middle_6hr_Single	coumarin	Single	6 hr	Middle	TERMINAL_BW.g.	Decrease
Liver_coumarin_Middle_9hr_Single	coumarin	Single	9 hr	Middle	Fbg.mg.dL.	Decrease
Liver_coumarin_Middle_9hr_Single	coumarin	Single	9 hr	Middle	TERMINAL_BW.g.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	Ht...	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	Plat.x10_4.uL.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	TP.g.dL.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	RBC.x10_4.ul.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	Fbg.mg.dL.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	BUN.mg.dL.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	IP.mg.dL.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	LDH.IU.L.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	GLC.mg.dL.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	Hb.g.dL.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	PL.mg.dL.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	APTT.s.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	Cl.meq.L.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	WBC.x10_2.uL.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	Ca.mg.dL.	Decrease
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	PT.s.	Increase
Liver_cycloheximide_High_24hr_Single	cycloheximide	Single	24 hr	High	GTP.IU.L.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	PL.mg.dL.	Decrease
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	Ht...	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	Hb.g.dL.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	RBC.x10_4.ul.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	BUN.mg.dL.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	PT.s.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	WBC.x10_2.uL.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	Ca.mg.dL.	Decrease
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	ALT.IU.L.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	IP.mg.dL.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	AST.IU.L.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	GTP.IU.L.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	LDH.IU.L.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	GLC.mg.dL.	Increase
Liver_cycloheximide_High_3hr_Single	cycloheximide	Single	3 hr	High	TG.mg.dL.	Decrease
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	TC.mg.dL.	Decrease
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	Cl.meq.L.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	K.meq.L.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	WBC.x10_2.uL.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	ALT.IU.L.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	Hb.g.dL.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	APTT.s.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	IP.mg.dL.	Increase
Liver_cycloheximide_High_6hr_Single	cycloheximide	Single	6 hr	High	PT.s.	Increase
