ID	altID	ClassUpper	ClassLower	Group
NVS_ENZ_hMMP1_Activator	NVS_ENZ_hMMP1_Activator	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP13	NVS_ENZ_hMMP13	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP13_Activator	NVS_ENZ_hMMP13_Activator	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP2	NVS_ENZ_hMMP2	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP2_Activator	NVS_ENZ_hMMP2_Activator	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP3	NVS_ENZ_hMMP3	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP3_Activator	NVS_ENZ_hMMP3_Activator	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP7	NVS_ENZ_hMMP7	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP7_Activator	NVS_ENZ_hMMP7_Activator	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP9	NVS_ENZ_hMMP9	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMMP9_Activator	NVS_ENZ_hMMP9_Activator	regulation of catalytic activity	matrix metalloproteinase	Toxcast
NVS_ENZ_hMsk1	NVS_ENZ_hMsk1	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hMsk1_Activator	NVS_ENZ_hMsk1_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hNEK2	NVS_ENZ_hNEK2	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hNEK2_Activator	NVS_ENZ_hNEK2_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPAK2	NVS_ENZ_hPAK2	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPAK2_Activator	NVS_ENZ_hPAK2_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPAK4	NVS_ENZ_hPAK4	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPAK4_Activator	NVS_ENZ_hPAK4_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPDE10	NVS_ENZ_hPDE10	regulation of catalytic activity	phosphodiesterase	Toxcast
NVS_ENZ_hPDE10_Activator	NVS_ENZ_hPDE10_Activator	regulation of catalytic activity	phosphodiesterase	Toxcast
NVS_ENZ_hPDE4A1	NVS_ENZ_hPDE4A1	regulation of catalytic activity	phosphodiesterase	Toxcast
NVS_ENZ_hPDE4A1_Activator	NVS_ENZ_hPDE4A1_Activator	regulation of catalytic activity	phosphodiesterase	Toxcast
NVS_ENZ_hPDE5	NVS_ENZ_hPDE5	regulation of catalytic activity	phosphodiesterase	Toxcast
NVS_ENZ_hPDE5_Activator	NVS_ENZ_hPDE5_Activator	regulation of catalytic activity	phosphodiesterase	Toxcast
NVS_ENZ_hPI3Ka	NVS_ENZ_hPI3Ka	regulation of catalytic activity	phosphoinositol kinase	Toxcast
NVS_ENZ_hPI3Ka_Activator	NVS_ENZ_hPI3Ka_Activator	regulation of catalytic activity	phosphoinositol kinase	Toxcast
NVS_ENZ_hPKA	NVS_ENZ_hPKA	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPKA_Activator	NVS_ENZ_hPKA_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPKCz	NVS_ENZ_hPKCz	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPKCz_Activator	NVS_ENZ_hPKCz_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPKD2	NVS_ENZ_hPKD2	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPKD2_Activator	NVS_ENZ_hPKD2_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hPPM1A	NVS_ENZ_hPPM1A	regulation of catalytic activity	serine/threonine phosphatase	Toxcast
NVS_ENZ_hPPM1A_Activator	NVS_ENZ_hPPM1A_Activator	regulation of catalytic activity	serine/threonine phosphatase	Toxcast
NVS_ENZ_hPPP1CA	NVS_ENZ_hPPP1CA	regulation of catalytic activity	serine/threonine phosphatase	Toxcast
NVS_ENZ_hPPP1CA_Activator	NVS_ENZ_hPPP1CA_Activator	regulation of catalytic activity	serine/threonine phosphatase	Toxcast
NVS_ENZ_hPPP2CA	NVS_ENZ_hPPP2CA	regulation of catalytic activity	serine/threonine phosphatase	Toxcast
NVS_ENZ_hPPP2CA_Activator	NVS_ENZ_hPPP2CA_Activator	regulation of catalytic activity	serine/threonine phosphatase	Toxcast
NVS_ENZ_hPTEN	NVS_ENZ_hPTEN	regulation of catalytic activity	dual-specific phosphatase	Toxcast
NVS_ENZ_hPTEN_Activator	NVS_ENZ_hPTEN_Activator	regulation of catalytic activity	dual-specific phosphatase	Toxcast
NVS_ENZ_hPTPN1	NVS_ENZ_hPTPN1	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN1_Activator	NVS_ENZ_hPTPN1_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN11	NVS_ENZ_hPTPN11	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN11_Activator	NVS_ENZ_hPTPN11_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN12	NVS_ENZ_hPTPN12	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN12_Activator	NVS_ENZ_hPTPN12_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN13	NVS_ENZ_hPTPN13	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN13_Activator	NVS_ENZ_hPTPN13_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN14	NVS_ENZ_hPTPN14	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN14_Activator	NVS_ENZ_hPTPN14_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN2	NVS_ENZ_hPTPN2	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN2_Activator	NVS_ENZ_hPTPN2_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN4	NVS_ENZ_hPTPN4	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN4_Activator	NVS_ENZ_hPTPN4_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN6	NVS_ENZ_hPTPN6	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN6_Activator	NVS_ENZ_hPTPN6_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN9	NVS_ENZ_hPTPN9	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPN9_Activator	NVS_ENZ_hPTPN9_Activator	regulation of catalytic activity	non-receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRB	NVS_ENZ_hPTPRB	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRB_Activator	NVS_ENZ_hPTPRB_Activator	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRC	NVS_ENZ_hPTPRC	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRC_Activator	NVS_ENZ_hPTPRC_Activator	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRF	NVS_ENZ_hPTPRF	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRF_Activator	NVS_ENZ_hPTPRF_Activator	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRM	NVS_ENZ_hPTPRM	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hPTPRM_Activator	NVS_ENZ_hPTPRM_Activator	regulation of catalytic activity	receptor tyrosine phosphatase	Toxcast
NVS_ENZ_hRAF1	NVS_ENZ_hRAF1	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hRAF1_Activator	NVS_ENZ_hRAF1_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hROCK1	NVS_ENZ_hROCK1	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hROCK1_Activator	NVS_ENZ_hROCK1_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hSGK1	NVS_ENZ_hSGK1	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hSGK1_Activator	NVS_ENZ_hSGK1_Activator	regulation of catalytic activity	serine/threonine kinase	Toxcast
NVS_ENZ_hSIRT1	NVS_ENZ_hSIRT1	regulation of catalytic activity	protein deacetylase	Toxcast
NVS_ENZ_hSIRT1_Activator	NVS_ENZ_hSIRT1_Activator	regulation of catalytic activity	protein deacetylase	Toxcast
NVS_ENZ_hSIRT2	NVS_ENZ_hSIRT2	regulation of catalytic activity	protein deacetylase	Toxcast
NVS_ENZ_hSIRT2_Activator	NVS_ENZ_hSIRT2_Activator	regulation of catalytic activity	protein deacetylase	Toxcast
NVS_ENZ_hSIRT3	NVS_ENZ_hSIRT3	regulation of catalytic activity	protein deacetylase	Toxcast
NVS_ENZ_hSIRT3_Activator	NVS_ENZ_hSIRT3_Activator	regulation of catalytic activity	protein deacetylase	Toxcast
NVS_ENZ_hSRC	NVS_ENZ_hSRC	regulation of catalytic activity	non-receptor tyrosine kinase	Toxcast
NVS_ENZ_hSRC_Activator	NVS_ENZ_hSRC_Activator	regulation of catalytic activity	non-receptor tyrosine kinase	Toxcast
NVS_ENZ_hSyk	NVS_ENZ_hSyk	regulation of catalytic activity	non-receptor tyrosine kinase	Toxcast
NVS_ENZ_hSyk_Activator	NVS_ENZ_hSyk_Activator	regulation of catalytic activity	non-receptor tyrosine kinase	Toxcast
NVS_ENZ_hTie2	NVS_ENZ_hTie2	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hTie2_Activator	NVS_ENZ_hTie2_Activator	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hTrkA	NVS_ENZ_hTrkA	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hTrkA_Activator	NVS_ENZ_hTrkA_Activator	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hVEGFR1	NVS_ENZ_hVEGFR1	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hVEGFR1_Activator	NVS_ENZ_hVEGFR1_Activator	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hVEGFR2	NVS_ENZ_hVEGFR2	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hVEGFR2_Activator	NVS_ENZ_hVEGFR2_Activator	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hVEGFR3	NVS_ENZ_hVEGFR3	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hVEGFR3_Activator	NVS_ENZ_hVEGFR3_Activator	regulation of catalytic activity	receptor tyrosine kinase	Toxcast
NVS_ENZ_hZAP70	NVS_ENZ_hZAP70	regulation of catalytic activity	non-receptor tyrosine kinase	Toxcast
NVS_ENZ_hZAP70_Activator	NVS_ENZ_hZAP70_Activator	regulation of catalytic activity	non-receptor tyrosine kinase	Toxcast
NVS_ENZ_oCOX1	NVS_ENZ_oCOX1	regulation of catalytic activity	cyclooxygenase	Toxcast
NVS_ENZ_oCOX1_Activator	NVS_ENZ_oCOX1_Activator	regulation of catalytic activity	cyclooxygenase	Toxcast
NVS_ENZ_oCOX2	NVS_ENZ_oCOX2	regulation of catalytic activity	cyclooxygenase	Toxcast
NVS_ENZ_oCOX2_Activator	NVS_ENZ_oCOX2_Activator	regulation of catalytic activity	cyclooxygenase	Toxcast
NVS_ENZ_pMTHFR	NVS_ENZ_pMTHFR	regulation of catalytic activity	methylenetetrahydrofolate reductase	Toxcast
NVS_ENZ_pMTHFR_Activator	NVS_ENZ_pMTHFR_Activator	regulation of catalytic activity	methylenetetrahydrofolate reductase	Toxcast
NVS_ENZ_rabI2C	NVS_ENZ_rabI2C	receptor binding	imidazoline receptor	Toxcast
NVS_ENZ_rabI2C_Activator	NVS_ENZ_rabI2C_Activator	receptor binding	imidazoline receptor	Toxcast
NVS_ENZ_rACFSKBinding	NVS_ENZ_rACFSKBinding	receptor binding	adenylyl cyclase	Toxcast
NVS_ENZ_rACFSKBinding_Activator	NVS_ENZ_rACFSKBinding_Activator	receptor binding	adenylyl cyclase	Toxcast
NVS_ENZ_rAChE	NVS_ENZ_rAChE	regulation of catalytic activity	acetylcholinesterase	Toxcast
NVS_ENZ_rAChE_Activator	NVS_ENZ_rAChE_Activator	regulation of catalytic activity	acetylcholinesterase	Toxcast
NVS_ENZ_rCNOS	NVS_ENZ_rCNOS	receptor binding	nitric oxide synthase	Toxcast
NVS_ENZ_rCNOS_Activator	NVS_ENZ_rCNOS_Activator	receptor binding	nitric oxide synthase	Toxcast
NVS_ENZ_rCOMT	NVS_ENZ_rCOMT	regulation of catalytic activity	o-methyltransferase	Toxcast
NVS_ENZ_rCOMT_Activator	NVS_ENZ_rCOMT_Activator	regulation of catalytic activity	o-methyltransferase	Toxcast
NVS_ENZ_hDYRK1a	NVS_ENZ_hDYRK1a	regulation of catalytic activity	dual-specific kinase	Toxcast
NVS_ENZ_hDYRK1a_Activator	NVS_ENZ_hDYRK1a_Activator	regulation of catalytic activity	dual-specific kinase	Toxcast
NVS_ENZ_rMAOAC	NVS_ENZ_rMAOAC	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOAC_Activator	NVS_ENZ_rMAOAC_Activator	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOAP	NVS_ENZ_rMAOAP	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOAP_Activator	NVS_ENZ_rMAOAP_Activator	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOBC	NVS_ENZ_rMAOBC	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOBC_Activator	NVS_ENZ_rMAOBC_Activator	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOBP	NVS_ENZ_rMAOBP	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_ENZ_rMAOBP_Activator	NVS_ENZ_rMAOBP_Activator	regulation of catalytic activity	monoamine oxidase	Toxcast
NVS_GPCR_bAdoR_NonSelective	NVS_GPCR_bAdoR_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_bAT2	NVS_GPCR_bAT2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_bDR_NonSelective	NVS_GPCR_bDR_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_bH1	NVS_GPCR_bH1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_bNPY_NonSelective	NVS_GPCR_bNPY_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_g5HT4	NVS_GPCR_g5HT4	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_gANPA	NVS_GPCR_gANPA	receptor binding	guanylyl cyclase	Toxcast
NVS_GPCR_gBK2	NVS_GPCR_gBK2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_gH2	NVS_GPCR_gH2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_gLTB4	NVS_GPCR_gLTB4	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_gLTD4	NVS_GPCR_gLTD4	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_gMPeripheral_NonSelective	NVS_GPCR_gMPeripheral_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_gOpiateK	NVS_GPCR_gOpiateK	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_h5HT2A	NVS_GPCR_h5HT2A	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_h5HT5A	NVS_GPCR_h5HT5A	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_h5HT6	NVS_GPCR_h5HT6	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_h5HT7	NVS_GPCR_h5HT7	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdoRA1	NVS_GPCR_hAdoRA1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdoRA2a	NVS_GPCR_hAdoRA2a	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdra2A	NVS_GPCR_hAdra2A	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdra2C	NVS_GPCR_hAdra2C	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdrb1	NVS_GPCR_hAdrb1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdrb2	NVS_GPCR_hAdrb2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAdrb3	NVS_GPCR_hAdrb3	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hAT1	NVS_GPCR_hAT1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hC5a	NVS_GPCR_hC5a	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hDRD1	NVS_GPCR_hDRD1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hDRD2s	NVS_GPCR_hDRD2s	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hDRD4.4	NVS_GPCR_hDRD4.4	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hETA	NVS_GPCR_hETA	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hETB	NVS_GPCR_hETB	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hH1	NVS_GPCR_hH1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hLTB4_BLT1	NVS_GPCR_hLTB4_BLT1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hM1	NVS_GPCR_hM1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hM2	NVS_GPCR_hM2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hM3	NVS_GPCR_hM3	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hM4	NVS_GPCR_hM4	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hM5	NVS_GPCR_hM5	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hNK2	NVS_GPCR_hNK2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hNPY1	NVS_GPCR_hNPY1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hNPY2	NVS_GPCR_hNPY2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hNTS	NVS_GPCR_hNTS	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hOpiate_D1	NVS_GPCR_hOpiate_D1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hOpiate_mu	NVS_GPCR_hOpiate_mu	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hORL1	NVS_GPCR_hORL1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hPY2	NVS_GPCR_hPY2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hTXA2	NVS_GPCR_hTXA2	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_hV1A	NVS_GPCR_hV1A	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_mCCKAPeripheral	NVS_GPCR_mCCKAPeripheral	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_mCKKBCentral	NVS_GPCR_mCKKBCentral	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_p5HT2C	NVS_GPCR_p5HT2C	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_r5HT_NonSelective	NVS_GPCR_r5HT_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_r5HT1_NonSelective	NVS_GPCR_r5HT1_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rabPAF	NVS_GPCR_rabPAF	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rAdra1_NonSelective	NVS_GPCR_rAdra1_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rAdra1A	NVS_GPCR_rAdra1A	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rAdra1B	NVS_GPCR_rAdra1B	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rAdra2_NonSelective	NVS_GPCR_rAdra2_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rAdrb_NonSelective	NVS_GPCR_rAdrb_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rCRF	NVS_GPCR_rCRF	receptor binding	secretin receptor	Toxcast
NVS_GPCR_rGABBR	NVS_GPCR_rGABBR	receptor binding	metabotropic glutamate receptor	Toxcast
NVS_GPCR_rGalanin	NVS_GPCR_rGalanin	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rGHB	NVS_GPCR_rGHB	receptor binding	metabotropic glutamate receptor	Toxcast
NVS_GPCR_rH3	NVS_GPCR_rH3	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rmAdra2B	NVS_GPCR_rmAdra2B	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rmMGluR1	NVS_GPCR_rmMGluR1	receptor binding	metabotropic glutamate receptor	Toxcast
NVS_GPCR_rmMGluR5	NVS_GPCR_rmMGluR5	receptor binding	metabotropic glutamate receptor	Toxcast
NVS_GPCR_rNK1	NVS_GPCR_rNK1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rNK3	NVS_GPCR_rNK3	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rNTS	NVS_GPCR_rNTS	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rOpiate_NonSelective	NVS_GPCR_rOpiate_NonSelective	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rOpiate_NonSelectiveNa	NVS_GPCR_rOpiate_NonSelectiveNa	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rOXT	NVS_GPCR_rOXT	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rSST	NVS_GPCR_rSST	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rTRH	NVS_GPCR_rTRH	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rV1	NVS_GPCR_rV1	receptor binding	rhodopsin-like receptor	Toxcast
NVS_GPCR_rVIP_NonSelective	NVS_GPCR_rVIP_NonSelective	receptor binding	secretin receptor	Toxcast
NVS_IC_hKhERGCh	NVS_IC_hKhERGCh	receptor binding	potassium channel	Toxcast
NVS_IC_rCaBTZCHL	NVS_IC_rCaBTZCHL	receptor binding	calcium channel	Toxcast
NVS_IC_rCaChN	NVS_IC_rCaChN	receptor binding	calcium channel	Toxcast
NVS_IC_rCaDHPRCh_L	NVS_IC_rCaDHPRCh_L	receptor binding	calcium channel	Toxcast
NVS_IC_rKAR	NVS_IC_rKAR	receptor binding	ligand-gated ion channel	Toxcast
NVS_IC_rKATPCh	NVS_IC_rKATPCh	receptor binding	potassium channel	Toxcast
NVS_IC_rKCaCh	NVS_IC_rKCaCh	receptor binding	potassium channel	Toxcast
NVS_IC_rNaCh_site2	NVS_IC_rNaCh_site2	receptor binding	sodium channel	Toxcast
NVS_LGIC_bGABAR_Agonist	NVS_LGIC_bGABAR_Agonist	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_bGABARa1	NVS_LGIC_bGABARa1	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_bGABARa5	NVS_LGIC_bGABARa5	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_h5HT3	NVS_LGIC_h5HT3	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_hNNR_NBungSens	NVS_LGIC_hNNR_NBungSens	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rAMPA	NVS_LGIC_rAMPA	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rGABAR_NonSelective	NVS_LGIC_rGABAR_NonSelective	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rGABARa6	NVS_LGIC_rGABARa6	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rGluNMDA_Agonist	NVS_LGIC_rGluNMDA_Agonist	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rGluNMDA_MK801_Agonist	NVS_LGIC_rGluNMDA_MK801_Agonist	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rGlyRStrySens	NVS_LGIC_rGlyRStrySens	receptor binding	ligand-gated ion channel	Toxcast
NVS_LGIC_rNNR_BungSens	NVS_LGIC_rNNR_BungSens	receptor binding	ligand-gated ion channel	Toxcast
NVS_MP_hPBR	NVS_MP_hPBR	receptor binding	cholesterol transporter	Toxcast
NVS_MP_rPBR	NVS_MP_rPBR	receptor binding	cholesterol transporter	Toxcast
NVS_NR_bER	NVS_NR_bER	receptor binding	steroidal	Toxcast
NVS_NR_bPR	NVS_NR_bPR	receptor binding	steroidal	Toxcast
NVS_NR_cAR	NVS_NR_cAR	receptor binding	steroidal	Toxcast
NVS_NR_hAR	NVS_NR_hAR	receptor binding	steroidal	Toxcast
NVS_NR_hCAR_Agonist	NVS_NR_hCAR_Agonist	receptor binding	non-steroidal	Toxcast
NVS_NR_hCAR_Antagonist	NVS_NR_hCAR_Antagonist	receptor binding	non-steroidal	Toxcast
NVS_NR_hER	NVS_NR_hER	receptor binding	steroidal	Toxcast
NVS_NR_hFXR_Agonist	NVS_NR_hFXR_Agonist	receptor binding	non-steroidal	Toxcast
NVS_NR_hFXR_Antagonist	NVS_NR_hFXR_Antagonist	receptor binding	non-steroidal	Toxcast
NVS_NR_hGR	NVS_NR_hGR	receptor binding	steroidal	Toxcast
NVS_NR_hPPARa	NVS_NR_hPPARa	receptor binding	non-steroidal	Toxcast
NVS_NR_hPPARg	NVS_NR_hPPARg	receptor binding	non-steroidal	Toxcast
NVS_NR_hPR	NVS_NR_hPR	receptor binding	steroidal	Toxcast
NVS_NR_hPXR	NVS_NR_hPXR	receptor binding	non-steroidal	Toxcast
NVS_NR_hRAR_Antagonist	NVS_NR_hRAR_Antagonist	receptor binding	non-steroidal	Toxcast
NVS_NR_hRARa_Agonist	NVS_NR_hRARa_Agonist	receptor binding	non-steroidal	Toxcast
NVS_NR_hTRa_Antagonist	NVS_NR_hTRa_Antagonist	receptor binding	non-steroidal	Toxcast
